study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,session,action,is_it_taking,rankrelationship_standardized,relationship_s,success,transfer_what,transfer_how_much
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,no,,
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,no,,
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,no,,
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,no,,
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,dropping,no,-0.285714,unrelated,no,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,request,no,-0.285714,unrelated,no,,
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,foodball,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,foodball,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,no,,
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,no,,
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,2,taking,yes,-0.285714,unrelated,yes,branch,whole
