study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,condition,tool_set,tool_set_experience,correct,try
manrique2011spontaneous,3,2009,4,3,pini,20,f,orangutan,1.0,4.0,observation,2,2.0,yes,yes
manrique2011spontaneous,3,2009,4,4,pini,20,f,orangutan,2.0,1.0,manipulation,3,1.0,yes,yes
manrique2011spontaneous,3,2009,4,4,pini,20,f,orangutan,2.0,2.0,manipulation,3,2.0,yes,yes
manrique2011spontaneous,3,2009,4,4,pini,20,f,orangutan,2.0,3.0,manipulation,4,1.0,no,yes
manrique2011spontaneous,3,2009,4,4,pini,20,f,orangutan,2.0,4.0,manipulation,4,2.0,yes,yes
manrique2011spontaneous,3,2009,4,3,dunja,35,f,orangutan,1.0,1.0,manipulation,1,1.0,no,no
manrique2011spontaneous,3,2009,4,3,dunja,35,f,orangutan,1.0,2.0,manipulation,1,2.0,yes,yes
manrique2011spontaneous,3,2009,4,3,dunja,35,f,orangutan,1.0,3.0,manipulation,2,1.0,yes,yes
manrique2011spontaneous,3,2009,4,3,dunja,35,f,orangutan,1.0,4.0,manipulation,2,2.0,yes,yes
manrique2011spontaneous,3,2009,4,4,dunja,35,f,orangutan,2.0,1.0,observation,3,1.0,yes,yes
manrique2011spontaneous,3,2009,4,4,dunja,35,f,orangutan,2.0,2.0,observation,3,2.0,yes,yes
manrique2011spontaneous,3,2009,4,4,dunja,35,f,orangutan,2.0,3.0,observation,4,1.0,yes,yes
manrique2011spontaneous,3,2009,4,4,dunja,35,f,orangutan,2.0,4.0,observation,4,2.0,yes,yes
manrique2011spontaneous,3,2009,4,3,dokana,20,f,orangutan,1.0,1.0,manipulation,1,1.0,yes,yes
manrique2011spontaneous,3,2009,4,3,dokana,20,f,orangutan,1.0,2.0,manipulation,1,2.0,yes,yes
manrique2011spontaneous,3,2009,4,3,dokana,20,f,orangutan,1.0,3.0,manipulation,2,1.0,yes,yes
manrique2011spontaneous,3,2009,4,3,dokana,20,f,orangutan,1.0,4.0,manipulation,2,2.0,yes,yes
manrique2011spontaneous,3,2009,4,4,dokana,20,f,orangutan,2.0,1.0,observation,3,1.0,yes,yes
manrique2011spontaneous,3,2009,4,4,dokana,20,f,orangutan,2.0,2.0,observation,3,2.0,yes,yes
manrique2011spontaneous,3,2009,4,4,dokana,20,f,orangutan,2.0,3.0,observation,4,1.0,yes,yes
manrique2011spontaneous,3,2009,4,4,dokana,20,f,orangutan,2.0,4.0,observation,4,2.0,yes,yes
manrique2011spontaneous,3,2009,4,3,kila,8,f,orangutan,1.0,1.0,observation,1,1.0,no,yes
manrique2011spontaneous,3,2009,4,3,kila,8,f,orangutan,1.0,2.0,observation,1,2.0,no,yes
manrique2011spontaneous,3,2009,4,3,kila,8,f,orangutan,1.0,3.0,observation,2,1.0,yes,yes
manrique2011spontaneous,3,2009,4,3,kila,8,f,orangutan,1.0,4.0,observation,2,2.0,yes,yes
manrique2011spontaneous,3,2009,4,4,kila,8,f,orangutan,2.0,1.0,manipulation,3,1.0,no,yes
manrique2011spontaneous,3,2009,4,4,kila,8,f,orangutan,2.0,2.0,manipulation,3,2.0,yes,yes
manrique2011spontaneous,3,2009,4,4,kila,8,f,orangutan,2.0,3.0,manipulation,4,1.0,no,yes
manrique2011spontaneous,3,2009,4,4,kila,8,f,orangutan,2.0,4.0,manipulation,4,2.0,no,yes
manrique2011spontaneous,3,2009,6,16,alex,8,m,chimpanzee,1.0,1.0,manipulation,1,1.0,yes,yes
manrique2011spontaneous,3,2009,6,16,alex,8,m,chimpanzee,1.0,2.0,manipulation,1,2.0,yes,yes
manrique2011spontaneous,3,2009,6,16,alex,8,m,chimpanzee,1.0,3.0,manipulation,2,1.0,yes,yes
manrique2011spontaneous,3,2009,6,16,alex,8,m,chimpanzee,1.0,4.0,manipulation,2,2.0,yes,yes
manrique2011spontaneous,3,2009,6,17,alex,8,m,chimpanzee,2.0,1.0,observation,3,1.0,no,yes
manrique2011spontaneous,3,2009,6,17,alex,8,m,chimpanzee,2.0,2.0,observation,3,2.0,no,yes
manrique2011spontaneous,3,2009,6,17,alex,8,m,chimpanzee,2.0,3.0,observation,4,1.0,no,yes
manrique2011spontaneous,3,2009,6,17,alex,8,m,chimpanzee,2.0,4.0,observation,4,2.0,no,yes
