study_id,participant,age_in_years,sex,species,session,trial,test_situation,task_experience,block,cup_distance,board_size,delay,hiding_location,pick,correct,life_expectancy,norm_age
many2019establishing,padana,20.0,f,orangutan,1,9,single,yes,3,29.0,78.0,medium,3,3,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,2,10,single,yes,1,29.0,78.0,long,1,1,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,2,11,single,yes,1,29.0,78.0,long,3,3,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,2,12,single,yes,1,29.0,78.0,long,2,2,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,2,13,single,yes,2,29.0,78.0,short,2,2,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,2,14,single,yes,2,29.0,78.0,short,3,3,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,2,15,single,yes,2,29.0,78.0,short,1,1,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,2,16,single,yes,3,29.0,78.0,medium,2,2,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,2,17,single,yes,3,29.0,78.0,medium,1,1,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,2,18,single,yes,3,29.0,78.0,medium,3,3,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,3,19,single,yes,1,29.0,78.0,long,3,3,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,3,20,single,yes,1,29.0,78.0,long,2,2,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,3,21,single,yes,1,29.0,78.0,long,1,1,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,3,22,single,yes,2,29.0,78.0,medium,1,1,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,3,23,single,yes,2,29.0,78.0,medium,3,3,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,3,24,single,yes,2,29.0,78.0,medium,2,2,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,3,25,single,yes,3,29.0,78.0,short,3,3,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,3,26,single,yes,3,29.0,78.0,short,1,1,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,3,27,single,yes,3,29.0,78.0,short,2,2,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,4,28,single,yes,1,29.0,78.0,long,2,2,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,4,29,single,yes,1,29.0,78.0,long,3,3,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,4,30,single,yes,1,29.0,78.0,long,1,1,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,4,31,single,yes,2,29.0,78.0,short,2,2,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,4,32,single,yes,2,29.0,78.0,short,1,1,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,4,33,single,yes,2,29.0,78.0,short,3,3,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,4,34,single,yes,3,29.0,78.0,medium,3,3,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,4,35,single,yes,3,29.0,78.0,medium,2,2,1,59.0,0.141941636868097
many2019establishing,padana,20.0,f,orangutan,4,36,single,yes,3,29.0,78.0,medium,1,1,1,59.0,0.141941636868097
many2019establishing,raja,14.0,f,orangutan,1,1,single,yes,1,29.0,78.0,short,1,1,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,1,2,single,yes,1,29.0,78.0,short,2,2,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,1,3,single,yes,1,29.0,78.0,short,3,3,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,1,4,single,yes,2,29.0,78.0,medium,1,1,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,1,5,single,yes,2,29.0,78.0,medium,3,3,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,1,6,single,yes,2,29.0,78.0,medium,2,2,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,1,7,single,yes,3,29.0,78.0,long,1,1,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,1,8,single,yes,3,29.0,78.0,long,3,3,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,1,9,single,yes,3,29.0,78.0,long,2,2,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,2,10,single,yes,1,29.0,78.0,short,2,2,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,2,11,single,yes,1,29.0,78.0,short,1,1,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,2,12,single,yes,1,29.0,78.0,short,3,3,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,2,13,single,yes,2,29.0,78.0,long,1,1,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,2,14,single,yes,2,29.0,78.0,long,3,3,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,2,15,single,yes,2,29.0,78.0,long,2,2,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,2,16,single,yes,3,29.0,78.0,medium,2,2,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,2,17,single,yes,3,29.0,78.0,medium,1,1,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,2,18,single,yes,3,29.0,78.0,medium,3,3,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,3,19,single,yes,1,29.0,78.0,short,1,1,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,3,20,single,yes,1,29.0,78.0,short,3,3,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,3,21,single,yes,1,29.0,78.0,short,2,2,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,3,22,single,yes,2,29.0,78.0,long,2,2,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,3,23,single,yes,2,29.0,78.0,long,3,3,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,3,24,single,yes,2,29.0,78.0,long,1,1,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,3,25,single,yes,3,29.0,78.0,medium,2,2,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,3,26,single,yes,3,29.0,78.0,medium,1,1,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,3,27,single,yes,3,29.0,78.0,medium,3,3,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,4,28,single,yes,1,29.0,78.0,short,2,2,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,4,29,single,yes,1,29.0,78.0,short,1,1,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,4,30,single,yes,1,29.0,78.0,short,3,3,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,4,31,single,yes,2,29.0,78.0,medium,1,1,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,4,32,single,yes,2,29.0,78.0,medium,3,3,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,4,33,single,yes,2,29.0,78.0,medium,2,2,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,4,34,single,yes,3,29.0,78.0,long,2,2,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,4,35,single,yes,3,29.0,78.0,long,3,3,1,59.0,-0.414772224363171
many2019establishing,raja,14.0,f,orangutan,4,36,single,yes,3,29.0,78.0,long,1,1,1,59.0,-0.414772224363171
many2019establishing,bimbo,37.0,m,orangutan,1,1,single,yes,1,29.0,78.0,short,2,2,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,1,2,single,yes,1,29.0,78.0,short,3,3,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,1,3,single,yes,1,29.0,78.0,short,1,1,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,1,4,single,yes,2,29.0,78.0,medium,3,3,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,1,5,single,yes,2,29.0,78.0,medium,1,1,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,1,6,single,yes,2,29.0,78.0,medium,2,2,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,1,7,single,yes,3,29.0,78.0,long,2,2,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,1,8,single,yes,3,29.0,78.0,long,3,2,0,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,1,9,single,yes,3,29.0,78.0,long,1,1,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,2,10,single,yes,1,29.0,78.0,short,3,3,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,2,11,single,yes,1,29.0,78.0,short,2,2,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,2,12,single,yes,1,29.0,78.0,short,1,1,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,2,13,single,yes,2,29.0,78.0,medium,2,2,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,2,14,single,yes,2,29.0,78.0,medium,3,3,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,2,15,single,yes,2,29.0,78.0,medium,1,1,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,2,16,single,yes,3,29.0,78.0,long,1,1,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,2,17,single,yes,3,29.0,78.0,long,3,3,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,2,18,single,yes,3,29.0,78.0,long,2,3,0,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,3,19,single,yes,1,29.0,78.0,medium,2,2,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,3,20,single,yes,1,29.0,78.0,medium,3,3,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,3,21,single,yes,1,29.0,78.0,medium,1,1,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,3,22,single,yes,2,29.0,78.0,short,2,2,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,3,23,single,yes,2,29.0,78.0,short,3,3,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,3,24,single,yes,2,29.0,78.0,short,1,1,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,3,25,single,yes,3,29.0,78.0,long,2,2,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,3,26,single,yes,3,29.0,78.0,long,1,1,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,3,27,single,yes,3,29.0,78.0,long,3,3,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,4,28,single,yes,1,29.0,78.0,short,3,3,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,4,29,single,yes,1,29.0,78.0,short,2,2,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,4,30,single,yes,1,29.0,78.0,short,1,1,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,4,31,single,yes,2,29.0,78.0,long,1,1,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,4,32,single,yes,2,29.0,78.0,long,2,2,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,4,33,single,yes,2,29.0,78.0,long,3,3,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,4,34,single,yes,3,29.0,78.0,medium,3,3,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,4,35,single,yes,3,29.0,78.0,medium,2,2,1,59.0,1.7192975770233572
many2019establishing,bimbo,37.0,m,orangutan,4,36,single,yes,3,29.0,78.0,medium,1,1,1,59.0,1.7192975770233572
many2019establishing,pini,30.0,f,orangutan,1,1,single,yes,1,29.0,78.0,medium,3,3,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,1,2,single,yes,1,29.0,78.0,medium,1,1,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,1,3,single,yes,1,29.0,78.0,medium,2,2,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,1,4,single,yes,2,29.0,78.0,short,1,1,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,1,5,single,yes,2,29.0,78.0,short,2,2,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,1,6,single,yes,2,29.0,78.0,short,3,3,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,1,7,single,yes,3,29.0,78.0,long,3,3,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,1,8,single,yes,3,29.0,78.0,long,2,2,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,1,9,single,yes,3,29.0,78.0,long,1,1,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,2,10,single,yes,1,29.0,78.0,short,2,2,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,2,11,single,yes,1,29.0,78.0,short,1,1,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,2,12,single,yes,1,29.0,78.0,short,3,3,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,2,13,single,yes,2,29.0,78.0,medium,2,2,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,2,14,single,yes,2,29.0,78.0,medium,3,3,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,2,15,single,yes,2,29.0,78.0,medium,1,1,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,2,16,single,yes,3,29.0,78.0,long,2,2,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,2,17,single,yes,3,29.0,78.0,long,1,1,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,2,18,single,yes,3,29.0,78.0,long,3,3,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,3,19,single,yes,1,29.0,78.0,long,3,3,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,3,20,single,yes,1,29.0,78.0,long,1,1,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,3,21,single,yes,1,29.0,78.0,long,2,2,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,3,22,single,yes,2,29.0,78.0,medium,1,1,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,3,23,single,yes,2,29.0,78.0,medium,3,3,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,3,24,single,yes,2,29.0,78.0,medium,2,2,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,3,25,single,yes,3,29.0,78.0,short,1,1,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,3,26,single,yes,3,29.0,78.0,short,3,3,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,3,27,single,yes,3,29.0,78.0,short,2,2,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,4,28,single,yes,1,29.0,78.0,short,3,3,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,4,29,single,yes,1,29.0,78.0,short,1,1,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,4,30,single,yes,1,29.0,78.0,short,2,2,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,4,31,single,yes,2,29.0,78.0,medium,2,2,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,4,32,single,yes,2,29.0,78.0,medium,3,3,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,4,33,single,yes,2,29.0,78.0,medium,1,1,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,4,34,single,yes,3,29.0,78.0,long,1,1,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,4,35,single,yes,3,29.0,78.0,long,2,2,1,59.0,1.069798072253544
many2019establishing,pini,30.0,f,orangutan,4,36,single,yes,3,29.0,78.0,long,3,3,1,59.0,1.069798072253544
many2019establishing,bambari,17.0,f,chimpanzee,1,1,single,yes,1,29.0,78.0,short,3,3,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,1,2,single,yes,1,29.0,78.0,short,1,1,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,1,3,single,yes,1,29.0,78.0,short,2,2,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,1,4,single,yes,2,29.0,78.0,medium,3,3,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,1,5,single,yes,2,29.0,78.0,medium,1,1,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,1,6,single,yes,2,29.0,78.0,medium,2,2,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,1,7,single,yes,3,29.0,78.0,long,2,2,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,1,8,single,yes,3,29.0,78.0,long,3,3,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,1,9,single,yes,3,29.0,78.0,long,1,1,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,2,10,single,yes,1,29.0,78.0,short,2,2,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,2,11,single,yes,1,29.0,78.0,short,3,3,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,2,12,single,yes,1,29.0,78.0,short,1,1,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,2,13,single,yes,2,29.0,78.0,long,3,3,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,2,14,single,yes,2,29.0,78.0,long,2,2,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,2,15,single,yes,2,29.0,78.0,long,1,1,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,2,16,single,yes,3,29.0,78.0,medium,1,1,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,2,17,single,yes,3,29.0,78.0,medium,3,3,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,2,18,single,yes,3,29.0,78.0,medium,2,2,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,3,19,single,yes,1,29.0,78.0,short,2,2,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,3,20,single,yes,1,29.0,78.0,short,3,3,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,3,21,single,yes,1,29.0,78.0,short,1,1,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,3,22,single,yes,2,29.0,78.0,long,1,1,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,3,23,single,yes,2,29.0,78.0,long,2,1,0,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,3,24,single,yes,2,29.0,78.0,long,3,3,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,3,25,single,yes,3,29.0,78.0,medium,1,1,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,3,26,single,yes,3,29.0,78.0,medium,3,3,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,3,27,single,yes,3,29.0,78.0,medium,2,2,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,4,28,single,yes,1,29.0,78.0,long,2,2,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,4,29,single,yes,1,29.0,78.0,long,3,3,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,4,30,single,yes,1,29.0,78.0,long,1,1,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,4,31,single,yes,2,29.0,78.0,short,1,1,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,4,32,single,yes,2,29.0,78.0,short,3,3,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,4,33,single,yes,2,29.0,78.0,short,2,2,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,4,34,single,yes,3,29.0,78.0,medium,1,1,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,4,35,single,yes,3,29.0,78.0,medium,3,3,1,59.4,-0.1470372192704679
many2019establishing,bambari,17.0,f,chimpanzee,4,36,single,yes,3,29.0,78.0,medium,2,2,1,59.4,-0.1470372192704679
many2019establishing,corry,41.0,f,chimpanzee,1,1,single,yes,1,29.0,78.0,short,2,2,1,59.4,2.06482256609282
many2019establishing,corry,41.0,f,chimpanzee,1,2,single,yes,1,29.0,78.0,short,3,3,1,59.4,2.06482256609282
many2019establishing,corry,41.0,f,chimpanzee,1,3,single,yes,1,29.0,78.0,short,1,1,1,59.4,2.06482256609282
many2019establishing,corry,41.0,f,chimpanzee,1,4,single,yes,2,29.0,78.0,long,1,1,1,59.4,2.06482256609282
many2019establishing,corry,41.0,f,chimpanzee,1,5,single,yes,2,29.0,78.0,long,3,3,1,59.4,2.06482256609282
many2019establishing,corry,41.0,f,chimpanzee,1,6,single,yes,2,29.0,78.0,long,2,3,0,59.4,2.06482256609282
