study_id,year,month,day,participant,age_in_years,sex,species,trial,family,training,order,strat,hidden_location_1,hidden_location_2,correct_place ,correct_feature,response ,correct,switch,choice,fing,exclude
haun2006evolutionary,2004,8,4,joey,21,m,bonobo,14,3,6,feature_first,place,center ,center ,center ,right ,right ,incorrect,switch,feature,keep,keep
haun2006evolutionary,2004,8,4,joey,21,m,bonobo,15,3,6,feature_first,place,right ,right ,right ,center ,right ,correct,switch,place,keep,keep
haun2006evolutionary,2004,8,4,joey,21,m,bonobo,16,3,6,feature_first,place,left ,left ,left ,right ,right ,incorrect,switch,feature,keep,keep
haun2006evolutionary,2004,8,4,joey,21,m,bonobo,17,3,6,feature_first,place,center ,center ,center ,left,center ,correct,switch,place,keep,keep
haun2006evolutionary,2004,8,4,joey,21,m,bonobo,18,3,6,feature_first,place,center,center,center,center,center,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,4,kuno,7,m,bonobo,5,3,3,feature_first,feature,left ,right,left,right,left,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,4,kuno,7,m,bonobo,6,3,3,feature_first,feature,center ,right ,center ,right ,center ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,4,kuno,7,m,bonobo,7,3,3,feature_first,feature,left,center,left ,center,left ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,4,kuno,7,m,bonobo,8,3,3,feature_first,feature,center ,left ,center ,left ,left ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,8,4,kuno,7,m,bonobo,9,3,3,feature_first,feature,right ,center ,right ,center ,center ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,7,28,n’diki,25,f,gorilla,6,2,3,feature_first,feature,left ,right ,left ,right ,center ,incorrect,switch,error,keep,keep
haun2006evolutionary,2004,7,28,n’diki,25,f,gorilla,7,2,3,feature_first,feature,center,left ,center ,left ,left ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,7,28,n’diki,25,f,gorilla,8,2,3,feature_first,feature,left ,center ,left ,center ,left ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,7,28,n’diki,25,f,gorilla,9,2,3,feature_first,feature,center,center,center,center,center,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,7,28,n’diki,25,f,gorilla,10,2,3,feature_first,place,left ,left ,left ,right ,left ,correct,switch,place,keep,keep
haun2006evolutionary,2004,8,6,patrick,7,m,chimpanzee,14,3,6,feature_first,place,center ,center ,center ,left ,center ,correct,switch,place,keep,keep
haun2006evolutionary,2004,8,6,patrick,7,m,chimpanzee,15,3,6,feature_first,place,right ,right ,right ,center ,center ,incorrect,switch,feature,keep,keep
haun2006evolutionary,2004,8,6,patrick,7,m,chimpanzee,16,3,6,feature_first,place,right,right,right,right,right,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,6,patrick,7,m,chimpanzee,17,3,6,feature_first,place,left ,left ,left ,right ,left ,correct,switch,place,keep,keep
haun2006evolutionary,2004,8,6,patrick,7,m,chimpanzee,18,3,6,feature_first,place,right ,right ,right ,left ,right ,correct,switch,place,keep,keep
haun2006evolutionary,2004,9,8,pini,16,f,orangutan,14,1,10,feature_first,place,center ,center,center,right ,center ,correct,switch,place,keep,keep
haun2006evolutionary,2004,9,8,pini,16,f,orangutan,15,1,10,feature_first,place,left,left,left,left,left,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,9,8,pini,16,f,orangutan,16,1,10,feature_first,place,right ,right ,right ,left ,right ,correct,switch,place,keep,keep
haun2006evolutionary,2004,9,8,pini,16,f,orangutan,17,1,10,feature_first,place,left ,left ,left ,right ,right ,incorrect,switch,feature,keep,keep
haun2006evolutionary,2004,9,8,pini,16,f,orangutan,18,1,10,feature_first,place,right,right,right,right,right,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,5,sandra,11,f,chimpanzee,14,3,4,feature_first,place,left ,left ,left ,center ,center ,incorrect,switch,feature,keep,keep
haun2006evolutionary,2004,8,5,sandra,11,f,chimpanzee,15,3,4,feature_first,place,center ,center ,center ,right ,center ,correct,switch,place,keep,keep
haun2006evolutionary,2004,8,5,sandra,11,f,chimpanzee,16,3,4,feature_first,place,right ,right ,right ,left ,left ,incorrect,switch,feature,keep,keep
haun2006evolutionary,2004,8,5,sandra,11,f,chimpanzee,17,3,4,feature_first,place,right ,right ,right ,center ,center ,incorrect,switch,feature,keep,keep
haun2006evolutionary,2004,8,5,sandra,11,f,chimpanzee,18,3,4,feature_first,place,center ,center ,center ,left ,left ,incorrect,switch,feature,keep,keep
haun2006evolutionary,2004,8,4,ulindi,10,f,bonobo,3,3,7,feature_first,feature,left ,center ,left ,center ,left ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,4,ulindi,10,f,bonobo,4,3,7,feature_first,feature,left ,right ,left ,right ,right ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,8,4,ulindi,10,f,bonobo,5,3,7,feature_first,feature,right,right,right,right,right,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,4,ulindi,10,f,bonobo,6,3,7,feature_first,feature,left,left,left,left,left,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,4,ulindi,10,f,bonobo,7,3,7,feature_first,feature,center ,left ,center ,left ,left ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,7,27,bebe,25,f,gorilla,1,2,3,feature_first,feature,right ,left ,right ,left ,right ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,7,27,bebe,25,f,gorilla,2,2,3,feature_first,feature,center,center,center,center,center,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,7,27,bebe,25,f,gorilla,3,2,3,feature_first,feature,left ,center ,left ,center,left ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,7,27,gorgo,23,m,gorilla,9,2,3,place_first,place,center,center ,center,left ,center ,correct,switch,place,keep,keep
haun2006evolutionary,2004,8,5,brent,4,m,chimpanzee,1,3,3,feature_first,feature,right,left ,right ,left ,right ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,5,brent,4,m,chimpanzee,2,3,3,feature_first,feature,right,right,right,right,right,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,5,brent,4,m,chimpanzee,3,3,3,feature_first,feature,center,center,center,center,center,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,5,brent,4,m,chimpanzee,4,3,3,feature_first,feature,center,right ,center ,right ,right ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,9,8,dokana,15,f,orangutan,1,1,17,feature_first,feature,center ,right ,center ,right ,right ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,9,8,dokana,15,f,orangutan,2,1,17,feature_first,feature,center,center,center,center,center,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,9,8,dokana,15,f,orangutan,3,1,17,feature_first,feature,left,left,left,left,left,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,9,8,dokana,15,f,orangutan,4,1,17,feature_first,feature,right ,left ,right ,left ,right ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,6,dorien,23,f,chimpanzee,1,3,4,feature_first,feature,right ,center ,right ,center ,right ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,6,dorien,23,f,chimpanzee,2,3,4,feature_first,feature,left,left,left,left,left,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,6,dorien,23,f,chimpanzee,3,3,4,feature_first,feature,left ,right ,left ,right ,left ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,6,dorien,23,f,chimpanzee,4,3,4,feature_first,feature,right ,left ,right ,left ,right ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,9,8,dunja,31,f,orangutan,1,1,10,feature_first,feature,left ,right ,left ,right ,right ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,9,8,dunja,31,f,orangutan,2,1,10,feature_first,feature,left ,center ,left ,center ,left ,incorrect,switch,place,exclude,keep
haun2006evolutionary,2004,9,8,dunja,31,f,orangutan,3,1,10,feature_first,feature,right,right,right,right,right,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,9,8,dunja,31,f,orangutan,4,1,10,feature_first,feature,left,left,left,left,left,correct,no_switch,both,exclude,keep
haun2006evolutionary,2004,8,6,frodo,10,m,chimpanzee,10,3,3,feature_first,place,center,center,center,center,center,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,6,frodo,10,m,chimpanzee,11,3,3,feature_first,place,center ,center ,center,right ,right ,incorrect,switch,feature,keep,keep
haun2006evolutionary,2004,8,6,frodo,10,m,chimpanzee,12,3,3,feature_first,place,left ,left ,left ,left ,left ,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,6,frodo,10,m,chimpanzee,13,3,3,feature_first,place,right,right ,right ,right ,right ,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,5,jahaga,11,f,chimpanzee,1,3,3,feature_first,feature,center,center,center,center,center,correct,no_switch,both,exclude,keep
haun2006evolutionary,2004,8,5,jahaga,11,f,chimpanzee,2,3,3,feature_first,feature,left,left,left,left,left,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,5,jahaga,11,f,chimpanzee,3,3,3,feature_first,feature,right ,left ,right ,left ,right,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,5,jahaga,11,f,chimpanzee,4,3,3,feature_first,feature,right,right,right,right,right,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,4,joey,21,m,bonobo,1,3,6,feature_first,feature,right ,left ,right ,left ,right ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,4,joey,21,m,bonobo,2,3,6,feature_first,feature,right ,right ,right ,right ,left ,incorrect,no_switch,error,keep,keep
haun2006evolutionary,2004,8,4,joey,21,m,bonobo,3,3,6,feature_first,feature,center,center,center,center,center,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,4,joey,21,m,bonobo,4,3,6,feature_first,feature,center ,right ,center ,right ,right ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,8,4,kuno,7,m,bonobo,10,3,3,feature_first,place,center ,center ,center ,right ,center ,correct,switch,place,keep,keep
haun2006evolutionary,2004,8,4,kuno,7,m,bonobo,11,3,3,feature_first,place,left,left,left,left,left,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,9,8,padana,6,f,orangutan,4,1,12,place_first,place,right ,right ,right ,center ,left ,incorrect,switch,error,keep,keep
haun2006evolutionary,2004,8,4,kuno,7,m,bonobo,12,3,3,feature_first,place,right ,right ,right ,center ,center,incorrect,switch,feature,keep,keep
haun2006evolutionary,2004,7,28,n’diki,25,f,gorilla,11,2,3,feature_first,place,right ,right ,right ,center ,right ,correct,switch,place,keep,keep
haun2006evolutionary,2004,8,4,yasa,6,f,bonobo,9,3,6,place_first,place,right ,right ,right ,left ,center ,incorrect,switch,error,keep,keep
haun2006evolutionary,2004,7,28,n’diki,25,f,gorilla,12,2,3,feature_first,place,center,center,center,center,center,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,7,28,n’diki,25,f,gorilla,13,2,3,feature_first,place,right ,right ,right ,left ,center,incorrect,switch,error,keep,keep
haun2006evolutionary,2004,8,6,patrick,7,m,chimpanzee,1,3,6,feature_first,feature,center,center,center,center,center,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,6,patrick,7,m,chimpanzee,2,3,6,feature_first,feature,right,right,right,right,right,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,6,patrick,7,m,chimpanzee,3,3,6,feature_first,feature,center ,left ,center ,left ,center ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,6,patrick,7,m,chimpanzee,4,3,6,feature_first,feature,left,left,left,left,left,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,9,8,pini,16,f,orangutan,1,1,10,feature_first,feature,left,left,left,left,left,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,9,8,pini,16,f,orangutan,2,1,10,feature_first,feature,center ,right ,center ,right,center,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,9,8,pini,16,f,orangutan,3,1,10,feature_first,feature,center ,left ,center ,left ,center ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,7,27,bebe,25,f,gorilla,12,2,3,feature_first,place,right ,right ,right ,left,center ,incorrect,switch,error,keep,keep
haun2006evolutionary,2004,8,5,sandra,11,f,chimpanzee,1,3,4,feature_first,feature,center,center,center,center,center,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,5,sandra,11,f,chimpanzee,2,3,4,feature_first,feature,left,left,left,left,left,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,5,sandra,11,f,chimpanzee,3,3,4,feature_first,feature,right,right,right,right,right,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,5,sandra,11,f,chimpanzee,4,3,4,feature_first,feature,left ,center ,left ,center ,left ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,4,ulindi,10,f,bonobo,8,3,7,feature_first,feature,right,center ,right ,center ,center ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,8,4,ulindi,10,f,bonobo,9,3,7,feature_first,feature,center ,right ,center,right ,left ,incorrect,switch,error,keep,keep
haun2006evolutionary,2004,8,4,ulindi,10,f,bonobo,10,3,7,feature_first,place,right ,right ,right ,center ,left ,incorrect,switch,error,keep,keep
haun2006evolutionary,2004,8,4,ulindi,10,f,bonobo,11,3,7,feature_first,place,center,center,center,center,center,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,7,27,bebe,25,f,gorilla,5,2,3,feature_first,feature,right ,right ,right ,right ,center ,incorrect,no_switch,error,keep,keep
haun2006evolutionary,2004,7,27,bebe,25,f,gorilla,6,2,3,feature_first,feature,left,left,left,left,left,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,7,27,bebe,25,f,gorilla,7,2,3,feature_first,feature,center,left ,center ,left ,center ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,7,27,bebe,25,f,gorilla,8,2,3,feature_first,feature,right,center ,right ,center ,right ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,7,27,bebe,25,f,gorilla,9,2,3,feature_first,feature,center ,right ,center ,right ,right ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,7,28,n’diki,25,f,gorilla,14,2,3,feature_first,place,left ,left ,left ,center ,left ,correct,switch,place,keep,keep
haun2006evolutionary,2004,8,5,brent,4,m,chimpanzee,6,3,3,feature_first,feature,center ,left ,center ,left ,center ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,5,brent,4,m,chimpanzee,7,3,3,feature_first,feature,left ,center ,left ,center ,left ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,5,brent,4,m,chimpanzee,8,3,3,feature_first,feature,left,left,left,left,left,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,5,brent,4,m,chimpanzee,9,3,3,feature_first,feature,right,center,right,center,center ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,9,8,dokana,15,f,orangutan,5,1,17,feature_first,feature,left ,center ,left ,center ,left ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,9,8,dokana,15,f,orangutan,6,1,17,feature_first,feature,right ,center ,right ,center ,center ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,9,8,dokana,15,f,orangutan,7,1,17,feature_first,feature,left ,right ,left ,right ,right ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,9,8,dokana,15,f,orangutan,8,1,17,feature_first,feature,center ,left ,center ,left ,center ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,9,8,dokana,15,f,orangutan,9,1,17,feature_first,feature,right,right,right,right,right,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,6,dorien,23,f,chimpanzee,5,3,4,feature_first,feature,left ,center ,left ,center ,left ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,6,dorien,23,f,chimpanzee,6,3,4,feature_first,feature,center ,right ,center ,right ,center ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,6,dorien,23,f,chimpanzee,7,3,4,feature_first,feature,right,right,right,right,right,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,6,dorien,23,f,chimpanzee,8,3,4,feature_first,feature,center ,left ,center ,left ,center ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,6,dorien,23,f,chimpanzee,9,3,4,feature_first,feature,center,center,center,center,center,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,9,8,dunja,31,f,orangutan,5,1,10,feature_first,feature,center,center,center,center,left ,incorrect,no_switch,error,keep,keep
haun2006evolutionary,2004,9,8,dunja,31,f,orangutan,6,1,10,feature_first,feature,right ,center ,right ,center ,center ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,9,8,dunja,31,f,orangutan,7,1,10,feature_first,feature,center ,right ,center ,right ,center ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,9,8,dunja,31,f,orangutan,18,1,10,feature_first,place,right ,right ,right ,center ,left,incorrect,switch,error,exclude,keep
haun2006evolutionary,2004,9,8,dunja,31,f,orangutan,9,1,10,feature_first,feature,center ,left ,center ,left ,center ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,6,frodo,10,m,chimpanzee,14,3,3,feature_first,place,left,left ,left ,right,right ,incorrect,switch,feature,keep,keep
haun2006evolutionary,2004,8,6,frodo,10,m,chimpanzee,15,3,3,feature_first,place,right,right ,right ,center,center,incorrect,switch,feature,keep,keep
haun2006evolutionary,2004,8,6,frodo,10,m,chimpanzee,16,3,3,feature_first,place,center,center,center,left ,center,correct,switch,place,keep,keep
haun2006evolutionary,2004,7,27,bebe,25,f,gorilla,4,2,3,feature_first,feature,left ,right ,left ,right ,center ,incorrect,switch,error,keep,keep
haun2006evolutionary,2004,8,6,frodo,10,m,chimpanzee,17,3,3,feature_first,place,right,right ,right ,left ,left ,incorrect,switch,feature,keep,keep
haun2006evolutionary,2004,8,5,jahaga,11,f,chimpanzee,5,3,3,feature_first,feature,left ,right ,left ,right ,right ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,8,5,jahaga,11,f,chimpanzee,6,3,3,feature_first,feature,center ,right ,center ,right ,right ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,8,5,jahaga,11,f,chimpanzee,7,3,3,feature_first,feature,left ,center ,left ,center ,center ,correct,switch,feature,exclude,keep
haun2006evolutionary,2004,8,5,jahaga,11,f,chimpanzee,8,3,3,feature_first,feature,center ,left ,center ,left ,center ,incorrect,switch,place,exclude,keep
haun2006evolutionary,2004,8,5,jahaga,11,f,chimpanzee,9,3,3,feature_first,feature,right ,center ,right ,center ,right ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,4,joey,21,m,bonobo,5,3,6,feature_first,feature,left ,right ,left,right ,right ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,8,4,joey,21,m,bonobo,6,3,6,feature_first,feature,center,left ,center ,left ,left ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,8,4,joey,21,m,bonobo,7,3,6,feature_first,feature,left ,center ,left ,center ,left ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,4,joey,21,m,bonobo,8,3,6,feature_first,feature,left,left,left,left,left,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,4,joey,21,m,bonobo,9,3,6,feature_first,feature,right ,center ,right ,center ,right ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,4,kuno,7,m,bonobo,13,3,3,feature_first,place,left ,left ,left ,center ,center ,incorrect,switch,feature,keep,keep
haun2006evolutionary,2004,8,4,kuno,7,m,bonobo,14,3,3,feature_first,place,center,center ,center ,left ,center ,correct,switch,place,keep,keep
haun2006evolutionary,2004,8,4,kuno,7,m,bonobo,15,3,3,feature_first,place,right ,right ,right ,left ,right ,correct,switch,place,keep,keep
haun2006evolutionary,2004,8,4,kuno,7,m,bonobo,16,3,3,feature_first,place,right,right,right,right,right,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,4,kuno,7,m,bonobo,17,3,3,feature_first,place,left ,left ,left ,right ,left ,correct,switch,place,keep,keep
haun2006evolutionary,2004,7,28,n’diki,25,f,gorilla,15,2,3,feature_first,place,left,left,left,left,left,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,6,frodo,10,m,chimpanzee,18,3,3,feature_first,place,left,left ,left ,center,right ,incorrect,switch,error,keep,keep
haun2006evolutionary,2004,7,28,n’diki,25,f,gorilla,16,2,3,feature_first,place,right ,right ,right ,right ,left ,incorrect,no_switch,error,keep,keep
haun2006evolutionary,2004,7,28,n’diki,25,f,gorilla,17,2,3,feature_first,place,center ,center ,center ,left ,center ,correct,switch,place,keep,keep
haun2006evolutionary,2004,7,28,n’diki,25,f,gorilla,18,2,3,feature_first,place,center ,center ,center ,right ,right,incorrect,switch,feature,keep,keep
haun2006evolutionary,2004,8,6,patrick,7,m,chimpanzee,5,3,6,feature_first,feature,left ,right ,left ,right ,left ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,6,patrick,7,m,chimpanzee,6,3,6,feature_first,feature,right ,center ,right ,center ,center ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,8,6,patrick,7,m,chimpanzee,7,3,6,feature_first,feature,right ,left ,right ,left ,left ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,8,6,patrick,7,m,chimpanzee,8,3,6,feature_first,feature,left ,center ,left ,center ,center ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,8,6,patrick,7,m,chimpanzee,9,3,6,feature_first,feature,center ,right ,center ,right ,center ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,9,8,pini,16,f,orangutan,5,1,10,feature_first,feature,right ,left ,right ,left ,right ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,9,8,pini,16,f,orangutan,6,1,10,feature_first,feature,right ,center ,right ,center ,right ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,9,8,pini,16,f,orangutan,7,1,10,feature_first,feature,center ,center ,center ,center ,left ,incorrect,no_switch,error,keep,keep
haun2006evolutionary,2004,9,8,pini,16,f,orangutan,8,1,10,feature_first,feature,left ,center ,left ,center ,center ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,9,8,pini,16,f,orangutan,9,1,10,feature_first,feature,right,right,right,right,right,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,5,sandra,11,f,chimpanzee,5,3,4,feature_first,feature,right ,left ,right ,left ,left ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,8,5,sandra,11,f,chimpanzee,6,3,4,feature_first,feature,left ,right ,left ,right ,left ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,5,sandra,11,f,chimpanzee,7,3,4,feature_first,feature,center ,left ,center ,left ,center ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,5,sandra,11,f,chimpanzee,8,3,4,feature_first,feature,center ,right ,center ,right ,center,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,5,sandra,11,f,chimpanzee,9,3,4,feature_first,feature,right ,center ,right ,center ,center ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,8,4,ulindi,10,f,bonobo,12,3,7,feature_first,place,right ,right ,right ,left ,center ,incorrect,switch,error,keep,keep
haun2006evolutionary,2004,8,4,ulindi,10,f,bonobo,13,3,7,feature_first,place,center ,center ,center ,right ,right,incorrect,switch,feature,keep,keep
haun2006evolutionary,2004,8,4,ulindi,10,f,bonobo,14,3,7,feature_first,place,left ,left ,left ,right ,left ,correct,switch,place,keep,keep
haun2006evolutionary,2004,8,4,ulindi,10,f,bonobo,15,3,7,feature_first,place,left,left,left,left,left,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,9,8,padana,6,f,orangutan,11,1,12,place_first,feature,right ,left ,right ,left ,center ,incorrect,switch,error,keep,keep
haun2006evolutionary,2004,9,8,bimbo,23,m,orangutan,10,1,8,place_first,feature,center,right ,center ,right,center ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,9,8,bimbo,23,m,orangutan,11,1,8,place_first,feature,center ,left ,center ,left ,center ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,9,8,bimbo,23,m,orangutan,12,1,8,place_first,feature,left ,center ,left ,center ,left ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,9,8,bimbo,23,m,orangutan,13,1,8,place_first,feature,right,center ,right ,center ,right ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,5,fifi,11,f,chimpanzee,10,3,3,place_first,feature,center,center,center,center,center,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,5,fifi,11,f,chimpanzee,11,3,3,place_first,feature,right ,center ,right ,center ,right ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,5,fifi,11,f,chimpanzee,12,3,3,place_first,feature,left,left,left,left,left,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,5,fifi,11,f,chimpanzee,13,3,3,place_first,feature,center ,left ,center ,left ,center ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,5,fraukje,28,f,chimpanzee,10,3,3,place_first,feature,left ,center ,left ,center ,left ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,5,fraukje,28,f,chimpanzee,11,3,3,place_first,feature,center ,right ,center ,right ,center ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,5,fraukje,28,f,chimpanzee,12,3,3,place_first,feature,right ,center ,right ,center,center ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,8,5,fraukje,28,f,chimpanzee,13,3,3,place_first,feature,right,right,right,right,right,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,7,27,gorgo,23,m,gorilla,10,2,3,place_first,feature,left,left,left,left,left,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,7,27,gorgo,23,m,gorilla,11,2,3,place_first,feature,left ,center,left ,center,left ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,7,27,gorgo,23,m,gorilla,12,2,3,place_first,feature,right,right,right,right,right,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,7,27,gorgo,23,m,gorilla,13,2,3,place_first,feature,center ,right ,center ,right ,center ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,4,limbuko,8,m,bonobo,9,3,4,place_first,place,right,right,right,right,right,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,4,limbuko,8,m,bonobo,10,3,4,place_first,feature,left ,right ,left ,right ,left ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,4,limbuko,8,m,bonobo,11,3,4,place_first,feature,center ,right ,center ,right ,right ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,8,4,limbuko,8,m,bonobo,12,3,4,place_first,feature,right,center ,right ,center ,center ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,8,5,natascha,24,f,chimpanzee,10,3,4,place_first,feature,left,left,left,left,left,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,5,natascha,24,f,chimpanzee,11,3,4,place_first,feature,center,center,center,center,center,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,8,5,natascha,24,f,chimpanzee,12,3,4,place_first,feature,right ,center ,right ,center ,right ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,8,5,natascha,24,f,chimpanzee,13,3,4,place_first,feature,right,right,right,right,right,correct,no_switch,both,keep,keep
haun2006evolutionary,2004,9,8,padana,6,f,orangutan,10,1,12,place_first,feature,center ,right ,center ,right ,right ,correct,switch,feature,keep,keep
haun2006evolutionary,2004,7,27,ruby_b'windi,6,f,gorilla,13,2,18,place_first,feature,left ,center ,left ,center ,right ,incorrect,switch,error,keep,keep
haun2006evolutionary,2004,9,8,padana,6,f,orangutan,12,1,12,place_first,feature,left ,right ,left ,right ,left ,incorrect,switch,place,keep,keep
haun2006evolutionary,2004,9,8,padana,6,f,orangutan,13,1,12,place_first,feature,right ,right ,right ,right ,center ,incorrect,no_switch,error,keep,keep
