study_id,experiment,experiment_name,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,condition,condition_group,order,choice,sum_correct,exp_order,feature,place,comments
kanngiesser2010bonobos,2,table_data,2007,6,19,ulindi,13,13,f,bonobo,1,6,training,exp,e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,19,ulindi,13,13,f,bonobo,1,7,training,exp,e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,19,ulindi,13,13,f,bonobo,1,8,training,exp,e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,19,ulindi,13,13,f,bonobo,1,9,training,exp,e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,19,ulindi,13,13,f,bonobo,1,10,training,exp,e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,19,ulindi,13,13,f,bonobo,1,11,training,exp,e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,19,ulindi,13,13,f,bonobo,1,12,training,exp,e2,correct_baited_location,10.0,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,1,training,exp,e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,2,training,exp,e2,incorrect_nonbaited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,3,training,exp,e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,4,training,exp,e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,5,training,exp,e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,6,training,exp,e2,correct_baited_location,5.0,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,1,test,exp,e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,2,test,exp,e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,3,test,exp,e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,4,test,exp,e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,5,test,exp,e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,6,test,exp,e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,7,test,exp,e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,8,test,exp,e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,9,test,exp,e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,10,test,exp,e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,11,test,exp,e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,21,ulindi,13,13,f,bonobo,2,12,test,exp,e2,feature,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,19,yasa,9,9,f,bonobo,1,1,training,exp,e2_e1,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,19,yasa,9,9,f,bonobo,1,2,training,exp,e2_e1,incorrect_nonbaited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,19,yasa,9,9,f,bonobo,1,3,training,exp,e2_e1,correct_baited_location,,table_floor,100*,0*,
