study_id,experiment,day,month,year,participant,age_original,age_in_years,sex,species,species_subgroup,session,trial,condition,order_of_conditions,preference_single_item,preference_pop_open,preference_pop_covered,initial_position_pellet_pop,position_pellet_sample,choice
eckert2017great,1,13,1,2015,frodo,21,21.0,m,chimpanzee,a,1,2,test 1,original,100.0,100.0,100.0,r,r,pellet
eckert2017great,1,13,1,2015,frodo,21,21.0,m,chimpanzee,a,1,3,test 1,original,100.0,100.0,100.0,l,l,pellet
eckert2017great,1,13,1,2015,frodo,21,21.0,m,chimpanzee,a,1,4,test 1,original,100.0,100.0,100.0,l,r,pellet
eckert2017great,1,14,1,2015,frodo,21,21.0,m,chimpanzee,a,2,5,test 1,original,100.0,100.0,100.0,r,r,pellet
eckert2017great,1,14,1,2015,frodo,21,21.0,m,chimpanzee,a,2,6,test 1,original,100.0,100.0,100.0,r,l,pellet
eckert2017great,1,14,1,2015,frodo,21,21.0,m,chimpanzee,a,2,7,test 1,original,100.0,100.0,100.0,l,r,pellet
eckert2017great,1,14,1,2015,frodo,21,21.0,m,chimpanzee,a,2,8,test 1,original,100.0,100.0,100.0,l,l,pellet
eckert2017great,1,18,1,2015,frodo,21,21.0,m,chimpanzee,a,3,9,test 1,original,100.0,100.0,100.0,l,r,pellet
eckert2017great,1,18,1,2015,frodo,21,21.0,m,chimpanzee,a,3,10,test 1,original,100.0,100.0,100.0,l,l,pellet
eckert2017great,1,18,1,2015,frodo,21,21.0,m,chimpanzee,a,3,11,test 1,original,100.0,100.0,100.0,r,l,pellet
eckert2017great,1,18,1,2015,frodo,21,21.0,m,chimpanzee,a,3,12,test 1,original,100.0,100.0,100.0,r,r,carrot
eckert2017great,1,19,3,2015,jahaga,22,22.0,f,chimpanzee,b,1,1,test 1,reverse,96.67,100.0,100.0,r,l,pellet
eckert2017great,1,19,3,2015,jahaga,22,22.0,f,chimpanzee,b,1,2,test 1,reverse,96.67,100.0,100.0,r,r,pellet
eckert2017great,1,19,3,2015,jahaga,22,22.0,f,chimpanzee,b,1,3,test 1,reverse,96.67,100.0,100.0,l,l,pellet
eckert2017great,1,19,3,2015,jahaga,22,22.0,f,chimpanzee,b,1,4,test 1,reverse,96.67,100.0,100.0,l,r,carrot
eckert2017great,1,20,3,2015,jahaga,22,22.0,f,chimpanzee,b,2,5,test 1,reverse,96.67,100.0,100.0,r,r,pellet
eckert2017great,1,20,3,2015,jahaga,22,22.0,f,chimpanzee,b,2,6,test 1,reverse,96.67,100.0,100.0,r,l,pellet
eckert2017great,1,20,3,2015,jahaga,22,22.0,f,chimpanzee,b,2,7,test 1,reverse,96.67,100.0,100.0,l,r,pellet
eckert2017great,1,20,3,2015,jahaga,22,22.0,f,chimpanzee,b,2,8,test 1,reverse,96.67,100.0,100.0,l,l,pellet
eckert2017great,1,20,3,2015,jeudi,48,,f,chimpanzee,b,1,1,test 1,reverse,100.0,100.0,50.0,r,l,carrot
eckert2017great,1,20,3,2015,jeudi,48,,f,chimpanzee,b,1,2,test 1,reverse,100.0,100.0,50.0,r,l,carrot
eckert2017great,1,20,3,2015,jeudi,48,,f,chimpanzee,b,1,3,test 1,reverse,100.0,100.0,50.0,l,r,pellet
eckert2017great,1,20,3,2015,jeudi,48,,f,chimpanzee,b,1,4,test 1,reverse,100.0,100.0,50.0,l,r,pellet
eckert2017great,1,23,3,2015,jahaga,22,22.0,f,chimpanzee,b,3,9,test 1,reverse,96.67,100.0,100.0,l,r,pellet
eckert2017great,1,23,3,2015,jahaga,22,22.0,f,chimpanzee,b,3,10,test 1,reverse,96.67,100.0,100.0,l,l,pellet
eckert2017great,1,23,3,2015,jahaga,22,22.0,f,chimpanzee,b,3,11,test 1,reverse,96.67,100.0,100.0,r,l,carrot
eckert2017great,1,23,3,2015,jahaga,22,22.0,f,chimpanzee,b,3,12,test 1,reverse,96.67,100.0,100.0,r,r,pellet
eckert2017great,1,23,3,2015,alexandra,15,15.0,f,chimpanzee,b,1,1,test 1,reverse,90.0,100.0,100.0,r,l,pellet
eckert2017great,1,23,3,2015,alexandra,15,15.0,f,chimpanzee,b,1,2,test 1,reverse,90.0,100.0,100.0,r,r,pellet
eckert2017great,1,23,3,2015,alexandra,15,15.0,f,chimpanzee,b,1,3,test 1,reverse,90.0,100.0,100.0,l,l,pellet
eckert2017great,1,23,3,2015,alexandra,15,15.0,f,chimpanzee,b,1,4,test 1,reverse,90.0,100.0,100.0,l,r,pellet
