"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"experiment","number of experiment from publication "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee/orangutan "
"two_min","percentage of correct responses with a two minute delay between baiting and recovery"
"one_hour","percentage of correct responses with a one hour delay between baiting and recovery"
"two_hours","percentage of correct responses with a two hour delay between baiting and recovery"
"twentyfour_h","percentage of correct responses with a twenty four hour delay between baiting and recovery"
