study_id,experiment,year,participant,age_in_years,sex,species,session_day,condition,number_banana_locations,number_locations_approached_banana,number_grape_locations,number_locations_approached_grape,relative_percentage_approached_banana,relative_percentage_approached_grape,number_revisited,percent_revisited
scheumann2006sumatran,2,2002,pini,14.0,f,orangutan,5.0,banana,10.0,1.0,,1.0,0.1,0.13,0.0,0.0
scheumann2006sumatran,2,2002,pini,14.0,f,orangutan,6.0,banana,10.0,1.0,,1.0,0.1,0.13,0.0,0.0
scheumann2006sumatran,2,2002,pini,14.0,f,orangutan,7.0,banana,10.0,1.0,,0.0,0.1,0.0,0.0,0.0
scheumann2006sumatran,2,2002,pini,14.0,f,orangutan,8.0,banana,10.0,2.0,,0.0,0.2,0.0,0.0,0.0
scheumann2006sumatran,2,2002,pini,14.0,f,orangutan,9.0,banana,10.0,1.0,,0.0,0.1,0.0,0.0,0.0
scheumann2006sumatran,2,2002,pini,14.0,f,orangutan,10.0,banana,10.0,2.0,,0.0,0.2,0.0,0.0,0.0
scheumann2006sumatran,2,2002,pini,14.0,f,orangutan,11.0,banana,10.0,6.0,,1.0,0.6,0.1,1.0,16.67
scheumann2006sumatran,2,2002,pini,14.0,f,orangutan,12.0,banana,10.0,3.0,,0.0,0.3,0.0,0.0,0.0
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,1.0,banana,10.0,3.0,,0.0,0.3,0.0,0.0,0.0
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,2.0,banana,10.0,4.0,,0.0,0.4,0.0,0.0,0.0
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,3.0,banana,10.0,4.0,,0.0,0.4,0.0,0.0,0.0
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,4.0,banana,10.0,5.0,,0.0,0.5,0.0,0.0,0.0
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,5.0,banana,10.0,9.0,,1.0,0.9,0.13,1.0,11.11
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,6.0,banana,10.0,6.0,,0.0,0.6,0.0,3.0,50.0
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,7.0,banana,10.0,6.0,,0.0,0.6,0.0,4.0,66.67
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,8.0,banana,10.0,3.0,,0.0,0.3,0.0,0.0,0.0
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,9.0,banana,10.0,5.0,,0.0,0.5,0.0,2.0,40.0
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,10.0,banana,10.0,3.0,,0.0,0.3,0.0,0.0,0.0
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,11.0,banana,10.0,5.0,,0.0,0.5,0.0,2.0,40.0
scheumann2006sumatran,2,2002,padana,5.0,f,orangutan,12.0,banana,10.0,7.0,,0.0,0.7,0.0,2.0,28.57
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,1.0,banana,10.0,3.0,,0.0,0.3,0.0,0.0,
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,2.0,banana,10.0,5.0,,0.0,0.5,0.0,1.0,0.0
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,3.0,banana,10.0,4.0,,0.0,0.4,0.0,1.0,0.0
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,4.0,banana,10.0,3.0,,0.0,0.3,0.0,1.0,0.0
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,5.0,banana,10.0,4.0,,0.0,0.4,0.0,0.0,0.0
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,6.0,banana,10.0,5.0,,0.0,0.5,0.0,3.0,0.0
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,7.0,banana,10.0,2.0,,0.0,0.2,0.0,0.0,0.0
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,8.0,banana,10.0,5.0,,0.0,0.5,0.0,1.0,0.0
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,9.0,banana,10.0,4.0,,0.0,0.4,0.0,1.0,0.0
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,10.0,banana,10.0,4.0,,0.0,0.4,0.0,0.0,0.0
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,11.0,banana,10.0,7.0,,0.0,0.7,0.0,0.0,16.67
scheumann2006sumatran,2,2002,mini,19.0,f,gibbon,12.0,banana,10.0,6.0,,0.0,0.6,0.0,1.0,0.0
scheumann2006sumatran,2,2002,toba,8.0,f,orangutan,1.0,grape,,4.0,10.0,1.0,0.4,0.1,0.0,0.0
scheumann2006sumatran,2,2002,toba,8.0,f,orangutan,2.0,grape,,2.0,10.0,0.0,0.2,0.0,0.0,
scheumann2006sumatran,2,2002,toba,8.0,f,orangutan,3.0,grape,,1.0,10.0,0.0,0.1,0.0,0.0,
scheumann2006sumatran,2,2002,toba,8.0,f,orangutan,4.0,grape,,2.0,10.0,0.0,0.2,0.0,0.0,
scheumann2006sumatran,2,2002,toba,8.0,f,orangutan,5.0,grape,,4.0,8.0,2.0,0.4,0.25,0.0,0.0
scheumann2006sumatran,2,2002,toba,8.0,f,orangutan,6.0,grape,,5.0,8.0,1.0,0.5,0.13,0.0,0.0
scheumann2006sumatran,2,2002,toba,8.0,f,orangutan,7.0,grape,,2.0,8.0,2.0,0.2,0.25,0.0,0.0
scheumann2006sumatran,2,2002,toba,8.0,f,orangutan,8.0,grape,,2.0,8.0,1.0,0.2,0.13,0.0,0.0
scheumann2006sumatran,2,2002,toba,8.0,f,orangutan,9.0,grape,,3.0,8.0,3.0,0.3,0.38,1.0,33.33
