study_id,experiment,year,month,day,participant,age_in_years,sex,species,species_subgroup,session,test_trial,trial,condition,constellation,food_left,food_right,point,side_indicated,food_indicated,point_to_absent,indicated_food
bohn2015communication,1,2013,10,19,bimbo,33.0,m,orangutan,,3,0,4,testwarmup,different,g,c,1,l,g,0,none
bohn2015communication,1,2013,10,19,bimbo,33.0,m,orangutan,,3,0,5,testwarmup,different,g,c,1,l,g,0,none
bohn2015communication,1,2013,10,19,bimbo,33.0,m,orangutan,,3,0,6,testwarmup,different,g,c,1,l,g,0,none
bohn2015communication,1,2013,10,19,bimbo,33.0,m,orangutan,,3,0,7,testwarmup,different,g,c,1,l,g,0,none
bohn2015communication,1,2013,10,19,bimbo,33.0,m,orangutan,,3,0,8,testwarmup,different,g,c,1,l,g,0,none
bohn2015communication,1,2013,10,19,bimbo,33.0,m,orangutan,,3,0,9,testwarmup,different,g,c,1,l,g,0,none
bohn2015communication,1,2013,10,19,bimbo,33.0,m,orangutan,,3,1,10,test,different,x,c,1,r,c,0,none
bohn2015communication,1,2013,10,19,bimbo,33.0,m,orangutan,,3,2,11,test,different,x,c,1,r,c,0,none
bohn2015communication,1,2013,10,19,bimbo,33.0,m,orangutan,,3,3,12,test,different,x,c,1,r,c,0,none
bohn2015communication,1,2013,10,19,dokana,24.0,f,orangutan,,3,0,1,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,19,dokana,24.0,f,orangutan,,3,0,2,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,19,dokana,24.0,f,orangutan,,3,0,3,testwarmup,same,c,c,1,l,c,0,none
bohn2015communication,1,2013,10,19,dokana,24.0,f,orangutan,,3,0,4,testwarmup,same,c,c,1,l,c,0,none
bohn2015communication,1,2013,10,19,dokana,24.0,f,orangutan,,3,0,5,testwarmup,same,c,c,1,l,c,0,none
bohn2015communication,1,2013,10,19,dokana,24.0,f,orangutan,,3,0,6,testwarmup,same,c,c,1,l,c,0,none
bohn2015communication,1,2013,10,19,dokana,24.0,f,orangutan,,3,0,7,testwarmup,same,c,c,1,l,c,0,none
bohn2015communication,1,2013,10,19,dokana,24.0,f,orangutan,,3,0,8,testwarmup,same,c,c,1,l,c,0,none
bohn2015communication,1,2013,10,19,dokana,24.0,f,orangutan,,3,0,9,testwarmup,same,c,c,1,l,c,0,none
bohn2015communication,1,2013,10,19,dokana,24.0,f,orangutan,,3,0,10,testwarmup,same,c,c,1,l,c,0,none
bohn2015communication,1,2013,10,19,dokana,24.0,f,orangutan,,3,0,11,testwarmup,same,c,c,1,l,c,0,none
bohn2015communication,1,2013,10,19,dokana,24.0,f,orangutan,,3,1,12,test,same,x,c,1,r,c,0,none
bohn2015communication,1,2013,10,19,padana,15.0,f,orangutan,,3,0,1,testwarmup,same,c,c,1,l,c,0,none
bohn2015communication,1,2013,10,19,padana,15.0,f,orangutan,,3,0,2,testwarmup,same,c,c,1,l,c,0,none
bohn2015communication,1,2013,10,19,padana,15.0,f,orangutan,,3,0,3,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,19,padana,15.0,f,orangutan,,3,0,4,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,19,padana,15.0,f,orangutan,,3,0,5,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,19,padana,15.0,f,orangutan,,3,0,6,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,19,padana,15.0,f,orangutan,,3,0,7,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,19,padana,15.0,f,orangutan,,3,0,8,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,19,padana,15.0,f,orangutan,,3,0,9,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,19,padana,15.0,f,orangutan,,3,0,10,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,19,padana,15.0,f,orangutan,,3,0,11,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,19,padana,15.0,f,orangutan,,3,1,12,test,same,c,x,1,l,c,0,none
bohn2015communication,1,2013,10,19,pini,25.0,f,orangutan,,3,0,1,testwarmup,same,g,g,1,l,g,0,none
bohn2015communication,1,2013,10,19,pini,25.0,f,orangutan,,3,0,2,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,19,pini,25.0,f,orangutan,,3,0,3,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,19,pini,25.0,f,orangutan,,3,0,4,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,19,pini,25.0,f,orangutan,,3,0,5,testwarmup,same,g,g,1,l,g,0,none
bohn2015communication,1,2013,10,19,pini,25.0,f,orangutan,,3,0,6,testwarmup,same,g,g,1,l,g,0,none
bohn2015communication,1,2013,10,19,pini,25.0,f,orangutan,,3,0,7,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,19,pini,25.0,f,orangutan,,3,0,8,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,19,pini,25.0,f,orangutan,,3,0,9,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,19,pini,25.0,f,orangutan,,3,1,10,test,same,g,x,1,l,g,0,none
bohn2015communication,1,2013,10,19,pini,25.0,f,orangutan,,3,2,11,test,same,g,x,1,l,g,0,none
bohn2015communication,1,2013,10,19,pini,25.0,f,orangutan,,3,3,12,test,same,g,x,1,l,g,0,none
bohn2015communication,1,2013,10,19,suaq,4.0,m,orangutan,,2,0,1,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,19,suaq,4.0,m,orangutan,,2,0,2,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,19,suaq,4.0,m,orangutan,,2,0,3,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,19,suaq,4.0,m,orangutan,,2,0,4,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,19,suaq,4.0,m,orangutan,,2,0,5,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,19,suaq,4.0,m,orangutan,,2,0,6,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,19,suaq,4.0,m,orangutan,,2,0,7,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,19,suaq,4.0,m,orangutan,,2,0,8,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,19,suaq,4.0,m,orangutan,,2,0,9,testwarmup,same,g,g,1,r,g,0,none
bohn2015communication,1,2013,10,19,suaq,4.0,m,orangutan,,2,1,10,test,same,g,x,1,l,g,0,none
bohn2015communication,1,2013,10,19,suaq,4.0,m,orangutan,,2,2,11,test,same,g,x,1,l,g,0,none
bohn2015communication,1,2013,10,19,suaq,4.0,m,orangutan,,2,3,12,test,same,g,x,1,l,g,0,none
bohn2015communication,1,2013,10,20,bimbo,33.0,m,orangutan,,4,0,1,testwarmup,same,c,c,1,l,c,0,none
bohn2015communication,1,2013,10,20,bimbo,33.0,m,orangutan,,4,0,2,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,20,bimbo,33.0,m,orangutan,,4,0,3,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,20,bimbo,33.0,m,orangutan,,4,0,4,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,20,bimbo,33.0,m,orangutan,,4,0,5,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,20,bimbo,33.0,m,orangutan,,4,0,6,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,20,bimbo,33.0,m,orangutan,,4,0,7,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,20,bimbo,33.0,m,orangutan,,4,0,8,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,20,bimbo,33.0,m,orangutan,,4,0,9,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,20,bimbo,33.0,m,orangutan,,4,0,10,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,20,bimbo,33.0,m,orangutan,,4,1,11,test,same,c,x,1,l,c,0,none
bohn2015communication,1,2013,10,20,bimbo,33.0,m,orangutan,,4,2,12,test,same,c,x,1,l,c,0,none
bohn2015communication,1,2013,10,20,dokana,24.0,f,orangutan,,4,0,1,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,20,dokana,24.0,f,orangutan,,4,0,2,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,20,dokana,24.0,f,orangutan,,4,0,3,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,20,dokana,24.0,f,orangutan,,4,0,4,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,20,dokana,24.0,f,orangutan,,4,0,5,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,20,dokana,24.0,f,orangutan,,4,0,6,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,20,dokana,24.0,f,orangutan,,4,0,7,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,20,dokana,24.0,f,orangutan,,4,0,8,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,20,dokana,24.0,f,orangutan,,4,0,9,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,20,dokana,24.0,f,orangutan,,4,1,10,test,different,c,x,1,l,c,0,none
bohn2015communication,1,2013,10,20,dokana,24.0,f,orangutan,,4,2,11,test,different,c,x,1,l,c,0,none
