study_id,experiment,experiment_name,participant,age_original,age_in_years,sex,species,species_subgroup,session,trial,all_trials,condition,pref,pref_side,decision,side
rakoczy2014apes,4,statistical_inference_control_one,bimbo,366.0,30.0,m,orangutan,,1,1,9.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,bimbo,366.0,30.0,m,orangutan,,1,2,9.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,bimbo,366.0,30.0,m,orangutan,,1,3,9.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,bimbo,366.0,30.0,m,orangutan,,1,4,9.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,bimbo,366.0,30.0,m,orangutan,,1,1,9.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,bimbo,366.0,30.0,m,orangutan,,1,2,9.0,test,,,wrong,right
rakoczy2014apes,4,statistical_inference_control_one,bimbo,366.0,30.0,m,orangutan,,1,3,9.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,bimbo,366.0,30.0,m,orangutan,,1,4,9.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,bimbo,366.0,30.0,m,orangutan,,1,5,9.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,bimbo,366.0,30.0,m,orangutan,,1,6,9.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,bimbo,366.0,30.0,m,orangutan,,2,7,9.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,bimbo,366.0,30.0,m,orangutan,,2,8,9.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,bimbo,366.0,30.0,m,orangutan,,2,9,9.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,bimbo,366.0,30.0,m,orangutan,,2,10,9.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,bimbo,366.0,30.0,m,orangutan,,2,11,9.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,bimbo,366.0,30.0,m,orangutan,,2,12,9.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,corry,411.0,34.0,f,chimpanzee,a,1,1,12.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,corry,411.0,34.0,f,chimpanzee,a,1,2,12.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,corry,411.0,34.0,f,chimpanzee,a,1,3,12.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,corry,411.0,34.0,f,chimpanzee,a,1,4,12.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,corry,411.0,34.0,f,chimpanzee,a,1,1,12.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,corry,411.0,34.0,f,chimpanzee,a,1,2,12.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,corry,411.0,34.0,f,chimpanzee,a,1,3,12.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,corry,411.0,34.0,f,chimpanzee,a,1,4,12.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,corry,411.0,34.0,f,chimpanzee,a,1,5,12.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,corry,411.0,34.0,f,chimpanzee,a,1,6,12.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,corry,411.0,34.0,f,chimpanzee,a,2,7,12.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,corry,411.0,34.0,f,chimpanzee,a,2,8,12.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,corry,411.0,34.0,f,chimpanzee,a,2,9,12.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,corry,411.0,34.0,f,chimpanzee,a,2,10,12.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,corry,411.0,34.0,f,chimpanzee,a,2,11,12.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,corry,411.0,34.0,f,chimpanzee,a,2,12,12.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,dokana,266.0,22.0,f,orangutan,,1,1,12.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,dokana,266.0,22.0,f,orangutan,,1,2,12.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,dokana,266.0,22.0,f,orangutan,,1,3,12.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,dokana,266.0,22.0,f,orangutan,,1,4,12.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,dokana,266.0,22.0,f,orangutan,,1,1,12.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,dokana,266.0,22.0,f,orangutan,,1,2,12.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,dokana,266.0,22.0,f,orangutan,,1,3,12.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,dokana,266.0,22.0,f,orangutan,,1,4,12.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,dokana,266.0,22.0,f,orangutan,,1,5,12.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,dokana,266.0,22.0,f,orangutan,,1,6,12.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,dokana,266.0,22.0,f,orangutan,,2,7,12.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,dokana,266.0,22.0,f,orangutan,,2,8,12.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,dokana,266.0,22.0,f,orangutan,,2,9,12.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,dokana,266.0,22.0,f,orangutan,,2,10,12.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,dokana,266.0,22.0,f,orangutan,,2,11,12.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,dokana,266.0,22.0,f,orangutan,,2,12,12.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,dorien,365.0,30.0,f,chimpanzee,a,1,1,10.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,dorien,365.0,30.0,f,chimpanzee,a,1,2,10.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,dorien,365.0,30.0,f,chimpanzee,a,1,3,10.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,dorien,365.0,30.0,f,chimpanzee,a,1,4,10.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,dorien,365.0,30.0,f,chimpanzee,a,1,1,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,dorien,365.0,30.0,f,chimpanzee,a,1,2,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,dorien,365.0,30.0,f,chimpanzee,a,1,3,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,dorien,365.0,30.0,f,chimpanzee,a,1,4,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,dorien,365.0,30.0,f,chimpanzee,a,1,5,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,dorien,365.0,30.0,f,chimpanzee,a,1,6,10.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,dorien,365.0,30.0,f,chimpanzee,a,2,7,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,dorien,365.0,30.0,f,chimpanzee,a,2,8,10.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,dorien,365.0,30.0,f,chimpanzee,a,2,9,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,dorien,365.0,30.0,f,chimpanzee,a,2,10,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,dorien,365.0,30.0,f,chimpanzee,a,2,11,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,dorien,365.0,30.0,f,chimpanzee,a,2,12,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,fraukje,419.0,34.0,f,chimpanzee,a,1,1,10.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,fraukje,419.0,34.0,f,chimpanzee,a,1,2,10.0,pretest,banana,right,,
rakoczy2014apes,4,statistical_inference_control_one,fraukje,419.0,34.0,f,chimpanzee,a,1,3,10.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,fraukje,419.0,34.0,f,chimpanzee,a,1,4,10.0,pretest,banana,left,,
rakoczy2014apes,4,statistical_inference_control_one,fraukje,419.0,34.0,f,chimpanzee,a,1,1,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,fraukje,419.0,34.0,f,chimpanzee,a,1,2,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,fraukje,419.0,34.0,f,chimpanzee,a,1,3,10.0,test,,,correct,right
rakoczy2014apes,4,statistical_inference_control_one,fraukje,419.0,34.0,f,chimpanzee,a,1,4,10.0,test,,,wrong,left
rakoczy2014apes,4,statistical_inference_control_one,fraukje,419.0,34.0,f,chimpanzee,a,1,5,10.0,test,,,correct,left
rakoczy2014apes,4,statistical_inference_control_one,fraukje,419.0,34.0,f,chimpanzee,a,1,6,10.0,test,,,correct,left
