study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,dyad,species,day,white,brown
leeuwen2013total,kofi,6,m,observed,tai,9.0,f,observer,kofi_tai,chimpanzee,5.0,,
leeuwen2013total,lobo,7,m,observed,tai,9.0,f,observer,lobo_tai,chimpanzee,5.0,4.0,
leeuwen2013total,swela,16,f,observed,tai,9.0,f,observer,swela_tai,chimpanzee,5.0,,
leeuwen2013total,ulla,34,f,observed,tai,9.0,f,observer,ulla_tai,chimpanzee,5.0,,
leeuwen2013total,dorien,31,f,observed,tai,9.0,f,observer,dorien_tai,chimpanzee,5.0,,
leeuwen2013total,tai,9,f,exchanger,,,,,,chimpanzee,6.0,56.0,10.0
leeuwen2013total,pia,12,f,observed,tai,9.0,f,observer,pia_tai,chimpanzee,6.0,1.0,3.0
leeuwen2013total,lome,10,m,observed,tai,9.0,f,observer,lome_tai,chimpanzee,6.0,,2.0
leeuwen2013total,fraukje,35,f,observed,tai,9.0,f,observer,fraukje_tai,chimpanzee,6.0,1.0,5.0
leeuwen2013total,kara,6,f,observed,tai,9.0,f,observer,kara_tai,chimpanzee,6.0,,5.0
leeuwen2013total,kofi,6,m,observed,tai,9.0,f,observer,kofi_tai,chimpanzee,6.0,3.0,2.0
leeuwen2013total,lobo,7,m,observed,tai,9.0,f,observer,lobo_tai,chimpanzee,6.0,11.0,
leeuwen2013total,swela,16,f,observed,tai,9.0,f,observer,swela_tai,chimpanzee,6.0,,
leeuwen2013total,ulla,34,f,observed,tai,9.0,f,observer,ulla_tai,chimpanzee,6.0,,
leeuwen2013total,dorien,31,f,observed,tai,9.0,f,observer,dorien_tai,chimpanzee,6.0,,
leeuwen2013total,tai,9,f,exchanger,,,,,,chimpanzee,7.0,43.0,3.0
leeuwen2013total,pia,12,f,observed,tai,9.0,f,observer,pia_tai,chimpanzee,7.0,1.0,12.0
leeuwen2013total,lome,10,m,observed,tai,9.0,f,observer,lome_tai,chimpanzee,7.0,,5.0
leeuwen2013total,fraukje,35,f,observed,tai,9.0,f,observer,fraukje_tai,chimpanzee,7.0,3.0,8.0
leeuwen2013total,kara,6,f,observed,tai,9.0,f,observer,kara_tai,chimpanzee,7.0,3.0,2.0
leeuwen2013total,kofi,6,m,observed,tai,9.0,f,observer,kofi_tai,chimpanzee,7.0,,1.0
leeuwen2013total,lobo,7,m,observed,tai,9.0,f,observer,lobo_tai,chimpanzee,7.0,8.0,
leeuwen2013total,swela,16,f,observed,tai,9.0,f,observer,swela_tai,chimpanzee,7.0,,5.0
leeuwen2013total,ulla,34,f,observed,tai,9.0,f,observer,ulla_tai,chimpanzee,7.0,,
leeuwen2013total,dorien,31,f,observed,tai,9.0,f,observer,dorien_tai,chimpanzee,7.0,,
leeuwen2013total,tai,9,f,exchanger,,,,,,chimpanzee,8.0,56.0,5.0
leeuwen2013total,pia,12,f,observed,tai,9.0,f,observer,pia_tai,chimpanzee,8.0,1.0,3.0
leeuwen2013total,lome,10,m,observed,tai,9.0,f,observer,lome_tai,chimpanzee,8.0,,
leeuwen2013total,fraukje,35,f,observed,tai,9.0,f,observer,fraukje_tai,chimpanzee,8.0,3.0,5.0
leeuwen2013total,kara,6,f,observed,tai,9.0,f,observer,kara_tai,chimpanzee,8.0,,1.0
leeuwen2013total,kofi,6,m,observed,tai,9.0,f,observer,kofi_tai,chimpanzee,8.0,1.0,1.0
leeuwen2013total,lobo,7,m,observed,tai,9.0,f,observer,lobo_tai,chimpanzee,8.0,8.0,
leeuwen2013total,swela,16,f,observed,tai,9.0,f,observer,swela_tai,chimpanzee,8.0,,
leeuwen2013total,ulla,34,f,observed,tai,9.0,f,observer,ulla_tai,chimpanzee,8.0,,
leeuwen2013total,dorien,31,f,observed,tai,9.0,f,observer,dorien_tai,chimpanzee,8.0,,
