study_id,experiment,participant,age_in_years,sex,species,phase,session,trial,condition,correct_side,first_response,chosen_side,distance,visibility,baited_side,touch_occluder_at_correct_side
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,2,24,dis_clear,1,0.0,l,dis,clear,l,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,3,25,dis_op,1,0.0,l,dis,op,l,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,3,26,close_clear,1,1.0,r,close,clear,r,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,3,27,dis_clear,1,0.0,l,dis,clear,l,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,3,28,dis_op,1,0.0,r,dis,op,r,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,3,29,dis_clear,1,0.0,r,dis,clear,r,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,3,30,close_clear,1,1.0,l,close,clear,l,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,3,31,close_opaque,0,0.0,l,close,op,r,
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,3,32,close_opaque,1,1.0,l,close,op,l,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,3,33,dis_op,1,0.0,r,dis,op,r,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,3,34,dis_op,0,0.0,l,dis,op,r,
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,3,35,dis_clear,1,1.0,r,dis,clear,r,0.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,3,36,close_opaque,1,1.0,l,close,op,l,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,4,37,dis_op,1,0.0,l,dis,op,l,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,4,38,close_clear,1,1.0,r,close,clear,r,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,4,39,close_clear,1,1.0,l,close,clear,l,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,4,40,dis_clear,1,0.0,l,dis,clear,l,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,4,41,dis_clear,1,0.0,r,dis,clear,r,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,4,42,close_opaque,0,0.0,l,close,op,r,
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,4,43,dis_clear,1,0.0,l,dis,clear,l,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,4,44,close_clear,1,1.0,l,close,clear,l,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,4,45,close_opaque,0,0.0,l,close,op,r,
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,4,46,close_clear,1,1.0,r,close,clear,r,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,4,47,close_opaque,1,1.0,l,close,op,l,1.0
volter2018intuitive,3,alexandra,15,f,chimpanzee,mirror,4,48,dis_op,1,0.0,l,dis,op,l,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,1,1,close_clear,1,1.0,r,close,clear,r,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,1,2,close_opaque,1,1.0,l,close,op,l,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,1,3,dis_op,1,1.0,l,dis,op,l,0.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,1,4,dis_op,1,1.0,r,dis,op,r,0.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,1,5,close_opaque,1,1.0,r,close,op,r,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,1,6,dis_clear,1,0.0,l,dis,clear,l,1.0
volter2018intuitive,3,jahaga,22,f,chimpanzee,mirror,1,7,dis_clear,1,1.0,r,dis,clear,r,0.0
