study_id,year,month,day,participant,age_in_years,sex,species,phase,session,trial,see,bring,condition,food_left,food_right,point,side_indicated,food_indicated,point_to_empty
bohn2016role,2014,5,2,tai,11.0,f,chimpanzee,testwarmup,1,0,0,0,different,g,c,1,l,g,0
bohn2016role,2014,5,2,tai,11.0,f,chimpanzee,testwarmup,1,0,0,0,different,g,c,1,l,g,0
bohn2016role,2014,5,2,tai,11.0,f,chimpanzee,testwarmup,1,0,0,0,different,g,c,1,l,g,0
bohn2016role,2014,5,2,tai,11.0,f,chimpanzee,test,1,1,0,0,different,x,c,1,r,c,0
bohn2016role,2014,5,2,tai,11.0,f,chimpanzee,test,1,2,0,0,different,x,c,1,r,c,0
bohn2016role,2014,5,2,tai,11.0,f,chimpanzee,test,1,3,0,0,different,x,c,0,n,n,0
bohn2016role,2014,5,2,kofi,8.0,m,chimpanzee,testwarmup,1,0,1,1,same,c,c,1,l,c,0
bohn2016role,2014,5,2,kofi,8.0,m,chimpanzee,testwarmup,1,0,1,1,same,c,c,1,l,c,0
bohn2016role,2014,5,2,kofi,8.0,m,chimpanzee,testwarmup,1,0,1,1,same,c,c,1,l,c,0
bohn2016role,2014,5,2,kofi,8.0,m,chimpanzee,test,1,1,1,1,same,x,c,1,r,c,0
bohn2016role,2014,5,2,kofi,8.0,m,chimpanzee,test,1,2,1,1,same,x,c,1,r,c,0
bohn2016role,2014,5,2,kofi,8.0,m,chimpanzee,test,1,3,1,1,same,x,c,1,r,c,0
bohn2016role,2014,5,2,kara,8.0,f,chimpanzee,testwarmup,1,0,1,1,different,g,c,1,l,g,0
bohn2016role,2014,5,2,kara,8.0,f,chimpanzee,testwarmup,1,0,1,1,different,g,c,1,l,g,0
bohn2016role,2014,5,2,kara,8.0,f,chimpanzee,testwarmup,1,0,1,1,different,g,c,1,l,g,0
bohn2016role,2014,5,2,kara,8.0,f,chimpanzee,test,1,1,1,1,different,x,c,1,r,c,0
bohn2016role,2014,5,2,kara,8.0,f,chimpanzee,test,1,2,1,1,different,x,c,1,r,c,0
bohn2016role,2014,5,2,kara,8.0,f,chimpanzee,test,1,3,1,1,different,x,c,1,l,g,1
bohn2016role,2014,5,2,riet,36.0,f,chimpanzee,testwarmup,1,0,0,0,different,a,g,1,r,g,0
bohn2016role,2014,5,2,riet,36.0,f,chimpanzee,testwarmup,1,0,0,0,different,a,g,1,r,g,0
bohn2016role,2014,5,2,riet,36.0,f,chimpanzee,testwarmup,1,0,0,0,different,a,g,1,r,g,0
bohn2016role,2014,5,2,riet,36.0,f,chimpanzee,test,1,1,0,0,different,a,x,1,l,a,0
bohn2016role,2014,5,2,riet,36.0,f,chimpanzee,test,1,2,0,0,different,a,x,1,l,a,0
bohn2016role,2014,5,2,riet,36.0,f,chimpanzee,test,1,3,0,0,different,a,x,1,l,a,0
bohn2016role,2014,5,2,lobo,10.0,m,chimpanzee,testwarmup,1,0,0,0,same,c,c,1,l,c,0
bohn2016role,2014,5,2,lobo,10.0,m,chimpanzee,testwarmup,1,0,0,0,same,c,c,1,l,c,0
bohn2016role,2014,5,2,lobo,10.0,m,chimpanzee,testwarmup,1,0,0,0,same,c,c,1,l,c,0
bohn2016role,2014,5,2,lobo,10.0,m,chimpanzee,test,1,1,0,0,same,x,c,1,r,c,0
bohn2016role,2014,5,2,lobo,10.0,m,chimpanzee,test,1,2,0,0,same,x,c,1,r,c,0
bohn2016role,2014,5,2,lobo,10.0,m,chimpanzee,test,1,3,0,0,same,x,c,1,r,c,0
bohn2016role,2014,5,2,frodo,20.0,m,chimpanzee,testwarmup,1,0,0,0,different,g,a,1,l,g,0
bohn2016role,2014,5,2,frodo,20.0,m,chimpanzee,testwarmup,1,0,0,0,different,g,a,1,l,g,0
bohn2016role,2014,5,2,frodo,20.0,m,chimpanzee,testwarmup,1,0,0,0,different,g,a,1,l,g,0
bohn2016role,2014,5,2,frodo,20.0,m,chimpanzee,test,1,1,0,0,different,x,a,1,r,a,0
bohn2016role,2014,5,2,frodo,20.0,m,chimpanzee,test,1,2,0,0,different,x,a,1,r,a,0
bohn2016role,2014,5,2,frodo,20.0,m,chimpanzee,test,1,3,0,0,different,x,a,1,r,a,0
bohn2016role,2014,5,2,sandra,20.0,f,chimpanzee,testwarmup,1,0,1,1,different,g,a,1,l,g,0
bohn2016role,2014,5,2,sandra,20.0,f,chimpanzee,testwarmup,1,0,1,1,different,g,a,1,r,a,0
bohn2016role,2014,5,2,sandra,20.0,f,chimpanzee,testwarmup,1,0,1,1,different,g,a,1,r,a,0
bohn2016role,2014,5,2,sandra,20.0,f,chimpanzee,testwarmup,1,0,1,1,different,g,a,1,r,a,0
bohn2016role,2014,5,2,sandra,20.0,f,chimpanzee,test,1,1,1,1,different,g,x,1,l,g,0
bohn2016role,2014,5,2,sandra,20.0,f,chimpanzee,test,1,2,1,1,different,g,x,1,l,g,0
bohn2016role,2014,5,2,fraukje,38.0,f,chimpanzee,testwarmup,1,0,0,0,same,g,g,1,l,g,0
bohn2016role,2014,5,2,fraukje,38.0,f,chimpanzee,testwarmup,1,0,0,0,same,g,g,1,l,g,0
bohn2016role,2014,5,2,fraukje,38.0,f,chimpanzee,testwarmup,1,0,0,0,same,g,g,1,l,g,0
bohn2016role,2014,5,2,fraukje,38.0,f,chimpanzee,test,1,1,0,0,same,g,g,1,r,g,0
bohn2016role,2014,5,2,fraukje,38.0,f,chimpanzee,test,1,2,0,0,same,g,g,1,r,g,0
bohn2016role,2014,5,2,fraukje,38.0,f,chimpanzee,test,1,3,0,0,same,g,g,1,r,g,0
bohn2016role,2014,5,2,robert,38.0,m,chimpanzee,testwarmup,1,0,0,0,same,a,a,1,r,a,0
bohn2016role,2014,5,2,robert,38.0,m,chimpanzee,testwarmup,1,0,0,0,same,a,a,1,r,a,0
bohn2016role,2014,5,2,robert,38.0,m,chimpanzee,testwarmup,1,0,0,0,same,a,a,1,r,a,0
bohn2016role,2014,5,2,robert,38.0,m,chimpanzee,test,1,1,0,0,same,a,a,1,l,a,0
bohn2016role,2014,5,2,robert,38.0,m,chimpanzee,test,1,2,0,0,same,a,a,1,l,a,0
bohn2016role,2014,5,2,robert,38.0,m,chimpanzee,test,1,3,0,0,same,a,a,1,l,a,0
bohn2016role,2014,5,3,fraukje,38.0,f,chimpanzee,testwarmup,2,0,1,1,different,a,g,1,r,g,0
bohn2016role,2014,5,3,fraukje,38.0,f,chimpanzee,testwarmup,2,0,1,1,different,a,g,1,r,g,0
bohn2016role,2014,5,3,fraukje,38.0,f,chimpanzee,testwarmup,2,0,1,1,different,a,g,1,r,g,0
bohn2016role,2014,5,3,fraukje,38.0,f,chimpanzee,test,2,1,1,1,different,a,x,1,r,g,1
bohn2016role,2014,5,3,lobo,10.0,m,chimpanzee,testwarmup,2,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,3,lobo,10.0,m,chimpanzee,testwarmup,2,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,3,lobo,10.0,m,chimpanzee,testwarmup,2,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,3,lobo,10.0,m,chimpanzee,test,2,1,1,1,same,g,x,1,l,g,0
bohn2016role,2014,5,3,lobo,10.0,m,chimpanzee,test,2,2,1,1,same,g,x,1,l,g,0
bohn2016role,2014,5,3,lobo,10.0,m,chimpanzee,test,2,3,1,1,same,g,x,1,l,g,0
bohn2016role,2014,5,3,sandra,20.0,f,chimpanzee,testwarmup,2,0,0,0,different,a,g,1,r,g,0
bohn2016role,2014,5,3,sandra,20.0,f,chimpanzee,testwarmup,2,0,0,0,different,a,g,1,r,g,0
bohn2016role,2014,5,3,sandra,20.0,f,chimpanzee,testwarmup,2,0,0,0,different,a,g,1,r,g,0
bohn2016role,2014,5,3,sandra,20.0,f,chimpanzee,test,2,1,0,0,different,a,x,1,l,a,0
bohn2016role,2014,5,3,sandra,20.0,f,chimpanzee,test,2,2,0,0,different,a,x,1,l,a,0
bohn2016role,2014,5,3,sandra,20.0,f,chimpanzee,test,2,3,0,0,different,a,x,1,l,a,0
bohn2016role,2014,5,3,kofi,8.0,m,chimpanzee,testwarmup,2,0,0,0,same,g,g,1,r,g,0
bohn2016role,2014,5,3,kofi,8.0,m,chimpanzee,testwarmup,2,0,0,0,same,g,g,1,r,g,0
bohn2016role,2014,5,3,kofi,8.0,m,chimpanzee,testwarmup,2,0,0,0,same,g,g,1,r,g,0
bohn2016role,2014,5,3,kofi,8.0,m,chimpanzee,test,2,1,0,0,same,g,x,1,l,g,0
bohn2016role,2014,5,3,kofi,8.0,m,chimpanzee,test,2,2,0,0,same,g,x,1,l,g,0
bohn2016role,2014,5,3,kofi,8.0,m,chimpanzee,test,2,3,0,0,same,g,x,1,l,g,0
bohn2016role,2014,5,3,lome,12.0,m,chimpanzee,testwarmup,1,0,1,1,different,c,g,1,r,g,0
bohn2016role,2014,5,3,lome,12.0,m,chimpanzee,testwarmup,1,0,1,1,different,c,g,1,r,g,0
bohn2016role,2014,5,3,lome,12.0,m,chimpanzee,testwarmup,1,0,1,1,different,c,g,1,r,g,0
bohn2016role,2014,5,3,lome,12.0,m,chimpanzee,test,1,1,1,1,different,c,x,1,l,c,0
bohn2016role,2014,5,3,lome,12.0,m,chimpanzee,test,1,2,1,1,different,c,x,1,l,c,0
bohn2016role,2014,5,3,lome,12.0,m,chimpanzee,test,1,3,1,1,different,c,x,1,l,c,0
bohn2016role,2014,5,3,frodo,20.0,m,chimpanzee,testwarmup,2,0,1,1,same,g,g,1,l,g,0
bohn2016role,2014,5,3,frodo,20.0,m,chimpanzee,testwarmup,2,0,1,1,same,g,g,1,l,g,0
bohn2016role,2014,5,3,frodo,20.0,m,chimpanzee,testwarmup,2,0,1,1,same,g,g,1,l,g,0
bohn2016role,2014,5,3,frodo,20.0,m,chimpanzee,test,2,1,1,1,same,x,g,1,r,g,0
bohn2016role,2014,5,3,frodo,20.0,m,chimpanzee,test,2,2,1,1,same,x,g,1,r,g,0
bohn2016role,2014,5,3,frodo,20.0,m,chimpanzee,test,2,3,1,1,same,x,g,1,r,g,0
bohn2016role,2014,5,3,robert,38.0,m,chimpanzee,testwarmup,2,0,1,1,different,a,g,1,r,g,0
bohn2016role,2014,5,3,robert,38.0,m,chimpanzee,testwarmup,2,0,1,1,different,a,g,1,r,g,0
bohn2016role,2014,5,3,robert,38.0,m,chimpanzee,testwarmup,2,0,1,1,different,a,g,1,r,g,0
bohn2016role,2014,5,3,robert,38.0,m,chimpanzee,test,2,1,1,1,different,a,x,1,r,g,1
bohn2016role,2014,5,3,kara,8.0,f,chimpanzee,testwarmup,2,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,3,kara,8.0,f,chimpanzee,testwarmup,2,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,3,kara,8.0,f,chimpanzee,testwarmup,2,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,3,kara,8.0,f,chimpanzee,test,2,1,1,1,same,g,x,1,l,g,0
bohn2016role,2014,5,3,kara,8.0,f,chimpanzee,test,2,2,1,1,same,g,x,1,l,g,0
bohn2016role,2014,5,3,kara,8.0,f,chimpanzee,test,2,3,1,1,same,g,x,1,l,g,0
bohn2016role,2014,5,3,riet,36.0,f,chimpanzee,testwarmup,2,0,1,1,same,g,g,1,l,g,0
bohn2016role,2014,5,3,riet,36.0,f,chimpanzee,testwarmup,2,0,1,1,same,g,g,1,l,g,0
bohn2016role,2014,5,3,riet,36.0,f,chimpanzee,testwarmup,2,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,3,riet,36.0,f,chimpanzee,testwarmup,2,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,3,riet,36.0,f,chimpanzee,testwarmup,2,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,3,riet,36.0,f,chimpanzee,test,2,1,1,1,same,g,x,1,l,g,0
bohn2016role,2014,5,3,tai,11.0,f,chimpanzee,testwarmup,2,0,0,0,same,c,c,1,r,c,0
bohn2016role,2014,5,3,tai,11.0,f,chimpanzee,testwarmup,2,0,0,0,same,c,c,1,r,c,0
bohn2016role,2014,5,3,tai,11.0,f,chimpanzee,testwarmup,2,0,0,0,same,c,c,1,r,c,0
bohn2016role,2014,5,3,tai,11.0,f,chimpanzee,test,2,1,0,0,same,c,x,1,l,c,0
bohn2016role,2014,5,3,tai,11.0,f,chimpanzee,test,2,2,0,0,same,c,x,1,l,c,0
bohn2016role,2014,5,3,tai,11.0,f,chimpanzee,test,2,3,0,0,same,c,x,1,l,c,0
bohn2016role,2014,5,2,bimbo,33.0,m,orangutan,testwarmup,1,0,1,1,different,g,c,1,l,g,0
bohn2016role,2014,5,2,bimbo,33.0,m,orangutan,testwarmup,1,0,1,1,different,g,c,1,l,g,0
bohn2016role,2014,5,2,bimbo,33.0,m,orangutan,testwarmup,1,0,1,1,different,g,c,1,l,g,0
bohn2016role,2014,5,2,bimbo,33.0,m,orangutan,test,1,1,1,1,different,x,c,1,r,c,0
bohn2016role,2014,5,2,bimbo,33.0,m,orangutan,test,1,2,1,1,different,x,c,1,r,c,0
bohn2016role,2014,5,2,bimbo,33.0,m,orangutan,test,1,3,1,1,different,x,c,0,n,n,0
bohn2016role,2014,5,2,raja,10.0,f,orangutan,testwarmup,1,0,0,0,different,a,g,1,r,g,0
bohn2016role,2014,5,2,raja,10.0,f,orangutan,testwarmup,1,0,0,0,different,a,g,1,r,g,0
bohn2016role,2014,5,2,raja,10.0,f,orangutan,testwarmup,1,0,0,0,different,a,g,1,r,g,0
bohn2016role,2014,5,2,raja,10.0,f,orangutan,test,1,1,0,0,different,a,x,1,l,a,0
bohn2016role,2014,5,2,raja,10.0,f,orangutan,test,1,2,0,0,different,a,x,1,l,a,0
bohn2016role,2014,5,2,raja,10.0,f,orangutan,test,1,3,0,0,different,a,x,1,l,a,0
bohn2016role,2014,5,2,pini,25.0,f,orangutan,testwarmup,1,0,0,0,same,g,g,1,r,g,0
bohn2016role,2014,5,2,pini,25.0,f,orangutan,testwarmup,1,0,0,0,same,g,g,1,l,g,0
bohn2016role,2014,5,2,pini,25.0,f,orangutan,testwarmup,1,0,0,0,same,g,g,1,l,g,0
bohn2016role,2014,5,2,pini,25.0,f,orangutan,testwarmup,1,0,0,0,same,g,g,1,l,g,0
bohn2016role,2014,5,2,pini,25.0,f,orangutan,test,1,1,0,0,same,x,g,1,r,g,0
bohn2016role,2014,5,2,pini,25.0,f,orangutan,test,1,2,0,0,same,x,g,1,r,g,0
bohn2016role,2014,5,2,padana,16.0,f,orangutan,testwarmup,1,0,1,1,same,c,c,1,r,c,0
bohn2016role,2014,5,2,padana,16.0,f,orangutan,testwarmup,1,0,1,1,same,c,c,1,r,c,0
bohn2016role,2014,5,2,padana,16.0,f,orangutan,testwarmup,1,0,1,1,same,c,c,1,r,c,0
bohn2016role,2014,5,2,padana,16.0,f,orangutan,test,1,1,1,1,same,c,x,1,l,c,0
bohn2016role,2014,5,2,padana,16.0,f,orangutan,test,1,2,1,1,same,c,x,1,l,c,0
bohn2016role,2014,5,2,padana,16.0,f,orangutan,test,1,3,1,1,same,c,x,1,l,c,0
bohn2016role,2014,5,2,suaq,4.0,m,orangutan,testwarmup,1,0,1,1,different,g,c,1,l,g,0
bohn2016role,2014,5,2,suaq,4.0,m,orangutan,testwarmup,1,0,1,1,different,g,c,1,l,g,0
bohn2016role,2014,5,2,suaq,4.0,m,orangutan,testwarmup,1,0,1,1,different,g,c,1,l,g,0
bohn2016role,2014,5,2,suaq,4.0,m,orangutan,test,1,1,1,1,different,x,c,1,r,c,0
bohn2016role,2014,5,2,suaq,4.0,m,orangutan,test,1,2,1,1,different,x,c,1,r,c,0
bohn2016role,2014,5,2,suaq,4.0,m,orangutan,test,1,3,1,1,different,x,c,1,r,c,0
bohn2016role,2014,5,2,dokana,25.0,f,orangutan,testwarmup,1,0,0,0,different,g,c,1,l,g,0
bohn2016role,2014,5,2,dokana,25.0,f,orangutan,testwarmup,1,0,0,0,different,g,c,1,l,g,0
bohn2016role,2014,5,2,dokana,25.0,f,orangutan,testwarmup,1,0,0,0,different,g,c,1,l,g,0
bohn2016role,2014,5,2,dokana,25.0,f,orangutan,test,1,1,0,0,different,x,c,1,r,c,0
bohn2016role,2014,5,2,dokana,25.0,f,orangutan,test,1,2,0,0,different,x,c,1,r,c,0
bohn2016role,2014,5,2,dokana,25.0,f,orangutan,test,1,3,0,0,different,x,c,1,r,c,0
bohn2016role,2014,5,3,padana,16.0,f,orangutan,testwarmup,2,0,0,0,different,c,g,1,r,g,0
bohn2016role,2014,5,3,padana,16.0,f,orangutan,testwarmup,2,0,0,0,different,c,g,1,r,g,0
bohn2016role,2014,5,3,padana,16.0,f,orangutan,testwarmup,2,0,0,0,different,c,g,1,r,g,0
bohn2016role,2014,5,3,padana,16.0,f,orangutan,test,2,1,0,0,different,c,x,1,l,c,0
bohn2016role,2014,5,3,padana,16.0,f,orangutan,test,2,2,0,0,different,c,x,1,l,c,0
bohn2016role,2014,5,3,padana,16.0,f,orangutan,test,2,3,0,0,different,c,x,1,l,c,0
bohn2016role,2014,5,3,suaq,4.0,m,orangutan,testwarmup,2,0,0,0,different,c,g,1,r,g,0
bohn2016role,2014,5,3,suaq,4.0,m,orangutan,testwarmup,2,0,0,0,different,c,g,1,r,g,0
bohn2016role,2014,5,3,suaq,4.0,m,orangutan,testwarmup,2,0,0,0,different,c,g,1,r,g,0
bohn2016role,2014,5,3,suaq,4.0,m,orangutan,test,2,1,0,0,different,c,x,1,l,c,0
bohn2016role,2014,5,3,suaq,4.0,m,orangutan,test,2,2,0,0,different,c,x,1,l,c,0
bohn2016role,2014,5,3,suaq,4.0,m,orangutan,test,2,3,0,0,different,c,x,1,l,c,0
bohn2016role,2014,5,3,bimbo,33.0,m,orangutan,testwarmup,2,0,0,0,different,c,g,1,r,g,0
bohn2016role,2014,5,3,bimbo,33.0,m,orangutan,testwarmup,2,0,0,0,different,c,g,1,r,g,0
bohn2016role,2014,5,3,bimbo,33.0,m,orangutan,testwarmup,2,0,0,0,different,c,g,1,r,g,0
bohn2016role,2014,5,3,bimbo,33.0,m,orangutan,test,2,1,0,0,different,c,x,0,n,n,0
bohn2016role,2014,5,3,dokana,25.0,f,orangutan,testwarmup,2,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,3,dokana,25.0,f,orangutan,testwarmup,2,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,3,dokana,25.0,f,orangutan,testwarmup,2,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,3,dokana,25.0,f,orangutan,test,2,1,1,1,same,g,x,1,l,g,0
bohn2016role,2014,5,3,dokana,25.0,f,orangutan,test,2,2,1,1,same,g,x,1,l,g,0
bohn2016role,2014,5,3,dokana,25.0,f,orangutan,test,2,3,1,1,same,g,x,1,l,g,0
bohn2016role,2014,5,3,pini,25.0,f,orangutan,testwarmup,2,0,0,0,different,c,g,1,r,g,0
bohn2016role,2014,5,3,pini,25.0,f,orangutan,testwarmup,2,0,0,0,different,c,g,1,r,g,0
bohn2016role,2014,5,3,pini,25.0,f,orangutan,testwarmup,2,0,0,0,different,c,g,1,r,g,0
bohn2016role,2014,5,3,pini,25.0,f,orangutan,test,2,1,0,0,different,c,x,1,l,c,0
bohn2016role,2014,5,3,pini,25.0,f,orangutan,test,2,2,0,0,different,c,x,1,l,c,0
bohn2016role,2014,5,3,pini,25.0,f,orangutan,test,2,3,0,0,different,c,x,1,l,c,0
bohn2016role,2014,5,5,bimbo,33.0,m,orangutan,testwarmup,3,0,0,0,same,c,c,1,l,c,0
bohn2016role,2014,5,5,bimbo,33.0,m,orangutan,testwarmup,3,0,0,0,same,c,c,1,l,c,0
bohn2016role,2014,5,5,bimbo,33.0,m,orangutan,testwarmup,3,0,0,0,same,c,c,1,l,c,0
bohn2016role,2014,5,5,bimbo,33.0,m,orangutan,test,3,1,0,0,same,x,c,0,n,n,0
bohn2016role,2014,5,5,raja,10.0,f,orangutan,testwarmup,3,0,1,1,same,g,g,1,l,g,0
bohn2016role,2014,5,5,raja,10.0,f,orangutan,testwarmup,3,0,1,1,same,g,g,1,l,g,0
bohn2016role,2014,5,5,raja,10.0,f,orangutan,testwarmup,3,0,1,1,same,g,g,1,l,g,0
bohn2016role,2014,5,5,raja,10.0,f,orangutan,test,3,1,1,1,same,x,g,1,r,g,0
bohn2016role,2014,5,5,raja,10.0,f,orangutan,test,3,2,1,1,same,x,g,1,r,g,0
bohn2016role,2014,5,5,raja,10.0,f,orangutan,test,3,3,1,1,same,x,g,1,r,g,0
bohn2016role,2014,5,5,pini,25.0,f,orangutan,testwarmup,3,0,1,1,different,g,c,1,l,g,0
bohn2016role,2014,5,5,pini,25.0,f,orangutan,testwarmup,3,0,1,1,different,g,c,1,l,g,0
bohn2016role,2014,5,5,pini,25.0,f,orangutan,testwarmup,3,0,1,1,different,g,c,1,l,g,0
bohn2016role,2014,5,5,pini,25.0,f,orangutan,test,3,1,1,1,different,x,c,1,r,c,0
bohn2016role,2014,5,5,pini,25.0,f,orangutan,test,3,2,1,1,different,x,c,1,r,c,0
bohn2016role,2014,5,5,pini,25.0,f,orangutan,test,3,3,1,1,different,x,c,1,r,c,0
bohn2016role,2014,5,5,suaq,4.0,m,orangutan,testwarmup,3,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,5,suaq,4.0,m,orangutan,testwarmup,3,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,5,suaq,4.0,m,orangutan,testwarmup,3,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,5,suaq,4.0,m,orangutan,test,3,1,1,1,same,g,x,1,l,g,0
bohn2016role,2014,5,5,suaq,4.0,m,orangutan,test,3,2,1,1,same,g,x,1,l,g,0
bohn2016role,2014,5,5,suaq,4.0,m,orangutan,test,3,3,1,1,same,g,x,1,l,g,0
bohn2016role,2014,5,5,padana,16.0,f,orangutan,testwarmup,3,0,0,0,same,g,g,1,r,g,0
bohn2016role,2014,5,5,padana,16.0,f,orangutan,testwarmup,3,0,0,0,same,g,g,1,r,g,0
bohn2016role,2014,5,5,padana,16.0,f,orangutan,testwarmup,3,0,0,0,same,g,g,1,l,g,0
bohn2016role,2014,5,5,padana,16.0,f,orangutan,testwarmup,3,0,0,0,same,g,g,1,r,g,0
bohn2016role,2014,5,5,padana,16.0,f,orangutan,test,3,1,0,0,same,g,x,1,l,g,0
bohn2016role,2014,5,5,padana,16.0,f,orangutan,test,3,2,0,0,same,g,x,1,l,g,0
bohn2016role,2014,5,5,dokana,25.0,f,orangutan,testwarmup,3,0,0,0,different,c,g,1,r,g,0
bohn2016role,2014,5,5,dokana,25.0,f,orangutan,testwarmup,3,0,0,0,different,c,g,1,r,g,0
bohn2016role,2014,5,5,dokana,25.0,f,orangutan,testwarmup,3,0,0,0,different,c,g,1,r,g,0
bohn2016role,2014,5,5,dokana,25.0,f,orangutan,test,3,1,0,0,different,c,x,1,l,c,0
bohn2016role,2014,5,5,dokana,25.0,f,orangutan,test,3,2,0,0,different,c,x,1,l,c,0
bohn2016role,2014,5,5,dokana,25.0,f,orangutan,test,3,3,0,0,different,c,x,1,l,c,0
bohn2016role,2014,5,5,fraukje,38.0,f,chimpanzee,testwarmup,3,0,1,1,same,a,a,1,l,a,0
bohn2016role,2014,5,5,fraukje,38.0,f,chimpanzee,testwarmup,3,0,1,1,same,a,a,1,r,a,0
bohn2016role,2014,5,5,fraukje,38.0,f,chimpanzee,testwarmup,3,0,1,1,same,a,a,1,r,a,0
bohn2016role,2014,5,5,fraukje,38.0,f,chimpanzee,testwarmup,3,0,1,1,same,a,a,1,l,a,0
bohn2016role,2014,5,5,fraukje,38.0,f,chimpanzee,testwarmup,3,0,1,1,same,a,a,1,l,a,0
bohn2016role,2014,5,5,fraukje,38.0,f,chimpanzee,test,3,1,1,1,same,x,a,1,r,a,0
bohn2016role,2014,5,5,tai,11.0,f,chimpanzee,testwarmup,3,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,5,tai,11.0,f,chimpanzee,testwarmup,3,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,5,tai,11.0,f,chimpanzee,testwarmup,3,0,1,1,same,g,g,1,r,g,0
bohn2016role,2014,5,5,tai,11.0,f,chimpanzee,test,3,1,1,1,same,g,g,1,l,g,0
bohn2016role,2014,5,5,tai,11.0,f,chimpanzee,test,3,2,1,1,same,g,g,1,l,g,0
bohn2016role,2014,5,5,tai,11.0,f,chimpanzee,test,3,3,1,1,same,g,g,1,l,g,0
bohn2016role,2014,5,5,kara,8.0,f,chimpanzee,testwarmup,3,0,0,0,same,c,c,1,l,c,0
bohn2016role,2014,5,5,kara,8.0,f,chimpanzee,testwarmup,3,0,0,0,same,c,c,1,l,c,0
bohn2016role,2014,5,5,kara,8.0,f,chimpanzee,testwarmup,3,0,0,0,same,c,c,1,l,c,0
bohn2016role,2014,5,5,kara,8.0,f,chimpanzee,test,3,1,0,0,same,x,c,1,l,c,1
bohn2016role,2014,5,5,frodo,20.0,m,chimpanzee,testwarmup,3,0,1,1,different,a,g,1,r,g,0
bohn2016role,2014,5,5,frodo,20.0,m,chimpanzee,testwarmup,3,0,1,1,different,a,g,1,r,g,0
bohn2016role,2014,5,5,frodo,20.0,m,chimpanzee,testwarmup,3,0,1,1,different,a,g,1,r,g,0
bohn2016role,2014,5,5,frodo,20.0,m,chimpanzee,test,3,1,1,1,different,a,x,1,l,a,0
bohn2016role,2014,5,5,frodo,20.0,m,chimpanzee,test,3,2,1,1,different,a,x,1,l,a,0
bohn2016role,2014,5,5,frodo,20.0,m,chimpanzee,test,3,3,1,1,different,a,x,1,l,a,0
bohn2016role,2014,5,5,lobo,10.0,m,chimpanzee,testwarmup,3,0,1,1,different,c,g,1,r,g,0
bohn2016role,2014,5,5,lobo,10.0,m,chimpanzee,testwarmup,3,0,1,1,different,c,g,1,r,g,0
bohn2016role,2014,5,5,lobo,10.0,m,chimpanzee,testwarmup,3,0,1,1,different,c,g,1,r,g,0
bohn2016role,2014,5,5,lobo,10.0,m,chimpanzee,test,3,1,1,1,different,c,x,1,l,c,0
bohn2016role,2014,5,5,lobo,10.0,m,chimpanzee,test,3,2,1,1,different,c,x,1,l,c,0
bohn2016role,2014,5,5,lobo,10.0,m,chimpanzee,test,3,3,1,1,different,c,x,1,l,c,0
bohn2016role,2014,5,5,kofi,8.0,m,chimpanzee,testwarmup,3,0,1,1,different,g,c,1,l,g,0
bohn2016role,2014,5,5,kofi,8.0,m,chimpanzee,testwarmup,3,0,1,1,different,g,c,1,l,g,0
bohn2016role,2014,5,5,kofi,8.0,m,chimpanzee,testwarmup,3,0,1,1,different,g,c,1,l,g,0
bohn2016role,2014,5,5,kofi,8.0,m,chimpanzee,test,3,1,1,1,different,x,c,1,r,c,0
bohn2016role,2014,5,5,kofi,8.0,m,chimpanzee,test,3,2,1,1,different,x,c,1,r,c,0
bohn2016role,2014,5,5,kofi,8.0,m,chimpanzee,test,3,3,1,1,different,x,c,1,r,c,0
bohn2016role,2014,5,5,sandra,20.0,f,chimpanzee,testwarmup,3,0,1,1,same,a,a,1,l,a,0
bohn2016role,2014,5,5,sandra,20.0,f,chimpanzee,testwarmup,3,0,1,1,same,a,a,1,r,a,0
bohn2016role,2014,5,5,sandra,20.0,f,chimpanzee,testwarmup,3,0,1,1,same,a,a,1,r,a,0
bohn2016role,2014,5,5,sandra,20.0,f,chimpanzee,testwarmup,3,0,1,1,same,a,a,1,r,a,0
bohn2016role,2014,5,5,sandra,20.0,f,chimpanzee,test,3,1,1,1,same,a,x,1,l,a,0
bohn2016role,2014,5,5,sandra,20.0,f,chimpanzee,test,3,2,1,1,same,a,x,1,l,a,0
